"","mergeID","PITID","FishID","TL","Weight","ConditionFactor","InfectionScore","Sex","TrialDay","TrialRound","UniqueID","TankID","avespeed_tot","avespeed_mob","aveacceler","propmoving.exp","dist","timefrozen_tot.ln","centretime.lnplus1","emergelat.bin","endpointlat.bin","endpointspeed.ln","refugereturnlat.ln","PC1","PC2"
"27","G13_1",1286,"G13",13.8,36,1.36982548423331,3,"m",1,6,"ACT1_6G","E",50.22652817,72.70973969,145.9354248,1.96269200336826,61992.20313,3.9740583963476,4.05004430332552,0,0,NA,1.6094379124341,-0.552815114188197,-1.07571825628064
"28","G13_2",1286,"G13",13.8,36,1.36982548423331,3,"m",2,3,"ACT2_3F","E",16.44581795,59.01539612,56.07644272,1.28677504226353,20930.35352,6.69431450312931,5.62582093318649,0,0,NA,3.2188758248682,0.614885141476494,-0.334758840852799
"29","G13_3",1286,"G13",13.8,35,1.33177477633794,3,"m",3,3,"ACT3_3B","E",5.159774303,38.52329636,20.14392662,1.08924555912001,7879.890625,6.90655455840562,2.23001440015921,0,1,1.94591014905531,3.78418963391826,1.09436222054121,0.670541901433269
"30","G14_1",2045,"G14",16.3,58,1.33926087116149,2,"m",1,6,"ACT1_6F","E",31.05964088,58.23539734,113.2615356,1.63702102021517,40758.18359,5.43022243742798,3.30688670219091,0,0,NA,NA,0.122887816774757,-0.786316727027467
"31","G14_2",2045,"G14",16.3,58,1.33926087116149,2,"m",2,4,"ACT2_4B","E",38.32255173,54.58703232,147.1784668,1.93580299133046,50824.63672,5.05433314936197,4.83628190695148,0,0,NA,NA,-0.231262773295441,-0.895516358778313
"32","G14_3",2045,"G14",16.3,59,1.36235157583669,2,"m",3,3,"ACT3_3D","E",26.96879768,53.76424408,117.776535,1.58598461553734,36461.58984,6.18291101167894,3.63758615972639,0,0,NA,NA,0.257269069268977,-0.684393341568627
"33","G17_1",2028,"G17",14.9,45,1.36035954605104,2,"m",1,3,"ACT1_3G","D",24.32190132,56.25775909,86.99931335,1.48817919364949,31179.76172,6.20071199323008,1.02961941718116,0,0,NA,NA,0.498662499519165,-0.530955581169249
"34","G17_2",2028,"G17",14.9,45,1.36035954605104,2,"m",2,6,"ACT2_6G","D",28.66424561,60.24682999,114.620079,1.56149923058512,36002.04688,6.10813585391167,3.3357695763397,0,0,NA,2.39789527279837,0.234472146184139,-0.643972153132935
"35","G17_3",2028,"G17",14.9,46,1.39058975818551,2,"m",3,2,"ACT3_2A","D",25.08958817,58.87060547,89.81656647,1.47932691623255,32822.03516,5.97228172769121,4.02891675689965,0,0,NA,NA,0.334308665145185,-0.59429676741283
"36","G18_1",2216,"G18",13.3,26,1.10514286734418,1,"m",1,3,"ACT1_3B","D",42.5052948,64.97161865,149.891861,1.84059619838705,53995.90234,4.25985900069967,3.54961738678043,1,1,2.56494935746154,5.05624580534831,-0.510766571165506,0.454659157829372
