Date,TimeLoaded,TrialType,TrialDay,TrialRound,ArenaID,TankID,PITID,FishID,Treatment,TL,SL,Sex,Weight,ImageJ_width_pixel,ImageJ_height_pixel,ppmm_x_calc,ppmm_y_calc,width_pixel,height_pixel,width_mm,height_mm,arenaarea_m2,visibilityrate,avespeed_tot,avespeed_mob,aveacceler,propmoving,dist,frozenevents,timefrozen_tot.raw,timefrozen_tot,timefrozen_ave.raw,timefrozen_ave,offset,centre_0_25,centre_25_50,centre_50_75,centre_75_100,centre_100_
10-11-2020,16:00,ACT,4,5,C,E_2,1442,K35,clip,14.6,12.4,F,55,173.003,256.018,0.536443411,0.519833503,175,258,326,496,0.1617,1,0.94,17.86,5.87,0.01,1400,2,00:19:50,1190,00:09:55,595,y,35937,63,0,0,0
10-11-2020,16:00,ACT,4,5,D,E_2,1419,K36,pit,12.5,10.6,F,31,159.013,252.097,0.493063566,0.511872081,157,254,318,496,0.15773,0.98,30.2,46.26,99.44,0.63,37936,44,00:05:33,333,00:00:08,8,n,14922,14219,3914,1062,1017
10-11-2020,16:00,ACT,4,5,E,E_3,1322,K37,pit,13.7,11.8,M,45,165.048,259.124,0.511776744,0.526140102,169,260,330,494,0.16302,1,22.89,49.75,75.88,0.44,28481,60,00:10:35,635,00:00:11,11,y,8815,21199,4065,1281,640
10-11-2020,16:00,ACT,4,5,F,E_3,1270,K38,clip,18.6,15.7,F,86,179.011,263.068,0.555072868,0.534148223,174,263,313,492,0.154,0.99,28.16,51.97,87.5,0.52,35395,40,00:09:17,557,00:00:14,14,n,4327,25334,5643,374,137
10-11-2020,16:00,ACT,4,5,G,E_3,NA,K39,cont,14.3,12.2,F,49,174.103,261.031,0.539854264,0.530012183,172,262,319,494,0.15759,1,12.53,54.66,42.2,0.21,15663,25,00:16:03,963,00:00:39,39,n,13484,22212,206,79,19
10-11-2020,16:00,ACT,4,5,H,E_3,NA,K40,cont,13.7,11.6,M,41,158.382,256.008,0.491106977,0.519813198,159,255,324,491,0.15908,1,7.24,43.7,26.16,0.15,9101,34,00:17:18,1038,00:00:31,31,n,24047,8152,1817,1427,557
10-11-2020,17:10,ACT,4,6,A,E_3,1308,K41,pit,16.6,14.2,M,64,162.012,255.018,0.502362791,0.517803046,164,252,326,487,0.15876,1,27.28,49.66,67.54,0.53,33607,87,00:08:27,507,00:00:06,6,y,2800,22670,6313,1865,2352
10-11-2020,17:10,ACT,4,6,B,E_3,1272,K42,clip,14.5,12.4,F,53,176.102,258.031,0.546052713,0.523920812,177,258,324,492,0.15941,1,30.34,53.09,89.82,0.56,37723,30,00:06:30,390,00:00:13,13,n,7865,18495,3278,2971,3279
10-11-2020,17:10,ACT,4,6,C,E_4,1285,K43,pit,14.5,12.3,M,51,173.046,258.048,0.536576744,0.52395533,174,257,324,491,0.15908,1,25.28,43.36,82.79,0.56,31845,67,00:07:34,454,00:00:07,7,n,3594,17706,6314,3016,5319
10-11-2020,17:10,ACT,4,6,D,E_4,1298,K44,clip,15.4,13,M,60,160.003,251.39,0.496133333,0.510436548,157,253,316,496,0.15674,1,40.83,59.2,123.5,0.68,51363,35,00:04:29,269,00:00:08,8,n,4780,22899,7045,563,713
10-11-2020,17:10,ACT,4,6,E,E_4,NA,K45,cont,14.4,12.4,M,45,167.027,262.093,0.517913178,0.532168528,167,262,322,492,0.15842,1,14.07,60.43,39.94,0.22,17312,56,00:15:46,946,00:00:17,17,n,416,21973,10107,1338,2166
10-11-2020,17:10,ACT,4,6,F,E_4,1408,K46,pit,12.5,10.5,M,27,181.003,262.008,0.561249612,0.531995939,181,263,322,494,0.15907,1,15.9,66.11,46.63,0.23,19622,35,00:15:45,945,00:00:27,27,n,7895,7579,9119,3347,8060
10-11-2020,17:10,ACT,4,6,G,E_4,1292,K47,clip,13.6,11.6,F,44,172.047,261.008,0.53347907,0.529965482,174,264,326,498,0.16235,1,6.98,55.81,22.35,0.11,8739,24,00:18:04,1084,00:00:45,45,y,28636,6657,707,0,0
10-11-2020,17:10,ACT,4,6,H,E_4,NA,K48,cont,16,13.9,M,77,154.029,257.008,0.477609302,0.521843655,157,253,329,485,0.15957,1,25.32,50.8,81.76,0.48,32021,51,00:09:15,555,00:00:11,11,y,722,15554,14462,2760,2502
12-11-2020,09:35,ACT,5,1,A,E_1,1496,K29,clip,13.5,11.8,F,47,163.077,255.008,0.505665116,0.517782741,168,257,332,496,0.16467,1,40.01,57.82,117.08,0.68,49260,32,00:04:07,247,00:00:08,8,y,5975,21855,5359,1499,1312
12-11-2020,09:35,ACT,5,1,B,E_1,1381,K25,pit,11.9,9.9,M,28,176.071,256.018,0.545956589,0.519833503,175,256,321,492,0.15793,1,27.43,44.28,90.99,0.6,34515,43,00:04:52,292,00:00:07,7,n,6262,15985,5326,2536,5830
12-11-2020,09:35,ACT,5,1,C,E_1,1263,K27,pit,15.4,13.5,M,61,173.003,255.071,0.536443411,0.51791066,169,258,315,498,0.15687,1,1.38,58.67,6.67,0.01,1828,5,00:19:42,1182,00:03:56,236,n,5742,29542,476,206,34
12-11-2020,09:35,ACT,5,1,D,E_1,NA,K30,cont,14.3,11.9,M,48,160,251.287,0.496124031,0.510227411,158,249,318,488,0.15518,1,6.64,44.3,26.46,0.13,8417,33,00:18:10,1090,00:00:33,33,n,15958,16618,1816,197,1411
12-11-2020,09:35,ACT,5,1,E,E_1,1321,K28,clip,14.5,12.2,F,58,164.049,261.031,0.50867907,0.530012183,168,262,330,494,0.16302,1,11.71,35.62,41.31,0.31,14686,71,00:13:11,791,00:00:11,11,y,2274,20037,5316,2970,5403
12-11-2020,09:35,ACT,5,1,F,E_1,NA,K26,cont,12.2,10.5,F,23,180.011,264.047,0.558173643,0.536136041,175,261,314,487,0.15292,1,1.2,6.8,10.27,0.05,1790,1,00:20:00,1200,00:20:00,1200,n,36000,0,0,0,0
12-11-2020,09:35,ACT,5,1,G,E_2,NA,K33,cont,15,12.9,M,62,175.026,263.008,0.542716279,0.534026396,172,262,317,491,0.15565,1,5.09,39.57,23.67,0.11,6628,10,00:18:20,1100,00:01:50,110,n,1593,4757,849,28273,503
12-11-2020,09:35,ACT,5,1,H,E_2,1442,K35,clip,14.7,12.5,F,54,158.155,255.002,0.490403101,0.517770558,157,251,320,485,0.1552,1,31.95,73.88,86.03,0.42,38958,67,00:10:50,650,00:00:10,10,n,16407,13974,3861,1104,654
12-11-2020,10:45,ACT,5,2,A,E_2,1419,K36,pit,12.5,10.6,F,30,162.012,254.049,0.502362791,0.515835533,163,256,324,496,0.1607,0.97,28.55,43.44,97.22,0.63,36134,51,00:05:55,355,00:00:07,7,n,13904,14266,3239,1239,2330
12-11-2020,10:45,ACT,5,2,B,E_2,1371,K31,clip,13.7,11.8,F,40,174.003,257.008,0.539544186,0.521843655,171,259,317,496,0.15723,1,0.63,5.38,4.84,0,980,1,00:20:00,1200,00:20:00,1200,n,36000,0,0,0,0
12-11-2020,10:45,ACT,5,2,C,E_2,1421,K32,pit,14.5,12.3,M,55,174,257.124,0.539534884,0.522079188,172,256,319,490,0.15631,1,23.92,50.82,73.16,0.46,29909,51,00:10:56,656,00:00:13,13,n,5168,25020,3837,1191,758
12-11-2020,10:45,ACT,5,2,D,E_2,NA,K34,cont,13.2,10.9,F,32,162.012,254.238,0.502362791,0.516219289,162,254,322,492,0.15842,1,12.62,49.55,42.92,0.24,15657,29,00:15:09,909,00:00:31,31,n,28405,6793,279,251,272
12-11-2020,10:45,ACT,5,2,E,E_3,1308,K41,pit,16.2,13.8,M,62,164.076,264.03,0.508762791,0.536101523,164,261,322,487,0.15681,1,2.54,20.84,13.69,0.06,3435,12,00:19:25,1165,00:01:37,97,n,158,34888,90,327,537
12-11-2020,10:45,ACT,5,2,F,E_3,1270,K38,clip,18.2,15.5,F,84,181.003,265.047,0.561249612,0.538166497,177,264,315,491,0.15467,1,13.67,46.54,44.04,0.27,17284,33,00:14:50,890,00:00:27,27,n,14028,20704,1234,34,0
12-11-2020,10:45,ACT,5,2,G,E_3,1272,K42,clip,14.2,12.4,F,52,176.045,265.008,0.545875969,0.53808731,174,266,319,494,0.15759,1,22.92,50.43,72.47,0.44,28199,81,00:09:51,591,00:00:07,7,n,3344,16850,5817,5769,4192
12-11-2020,10:45,ACT,5,2,H,E_3,1322,K37,pit,13.5,11.6,M,45,159.079,255.002,0.493268217,0.517770558,158,254,320,491,0.15712,1,11,38.17,40.96,0.26,13923,63,00:15:24,924,00:00:15,15,n,11116,21031,1724,1732,397
12-11-2020,11:55,ACT,5,3,A,E_3,NA,K39,cont,14.2,12.3,F,48,166.027,255.096,0.514812403,0.517961421,162,256,315,494,0.15561,1,22.97,49.22,69.27,0.45,28352,49,00:10:22,622,00:00:13,13,n,13710,17277,2701,1414,898
12-11-2020,11:55,ACT,5,3,B,E_3,NA,K40,cont,13.6,11.5,M,42,178.011,258.002,0.551972093,0.523861929,174,258,315,492,0.15498,1,4.42,33.61,19.04,0.1,5753,23,00:18:22,1102,00:00:48,48,n,24864,6155,4674,217,90
12-11-2020,11:55,ACT,5,3,C,E_4,1408,K46,pit,12.5,10.3,M,26,174,256,0.539534884,0.519796954,170,258,315,496,0.15624,1,2.6,51.09,10.84,0.03,3444,5,00:19:22,1162,00:03:52,232,n,34810,722,288,82,98
12-11-2020,11:55,ACT,5,3,D,E_4,1298,K44,clip,15.2,13,M,59,160.05,251.161,0.49627907,0.509971574,160,255,322,500,0.161,0.99,14.49,47.44,49.24,0.28,18226,52,00:14:48,888,00:00:17,17,n,4928,14534,9956,2908,3299
12-11-2020,11:55,ACT,5,3,E,E_4,1292,K47,clip,13.5,11.5,F,42,165,262.048,0.511627907,0.532077157,165,261,323,491,0.15859,1,7.04,43.72,24.76,0.14,8822,33,00:17:16,1036,00:00:31,31,n,26875,6922,1173,581,449
12-11-2020,11:55,ACT,5,3,F,E_4,NA,K45,cont,14.3,12.2,M,44,183.003,263.03,0.567451163,0.534071066,181,264,319,494,0.15759,1,3.58,39.05,16.51,0.07,4627,19,00:19:15,1155,00:01:01,61,n,102,30220,2773,330,2575
12-11-2020,11:55,ACT,5,3,G,E_4,NA,K48,cont,16,13.7,M,73,176.102,264.03,0.546052713,0.536101523,175,265,320,494,0.15808,1,24.24,46.78,72.16,0.5,30213,72,00:09:42,582,00:00:08,8,n,1787,17880,10119,4349,1809
12-11-2020,11:55,ACT,5,3,H,E_4,1285,K43,pit,14.5,12.2,M,50,158.028,258.008,0.490009302,0.523874112,155,253,316,483,0.15263,1,14.18,38.31,52.44,0.35,18089,70,00:14:02,842,00:00:12,12,n,9820,21921,2645,682,932
12-11-2020,13:05,ACT,5,4,A,D_1,1340,K03,pit,13.8,11.6,M,39,163.077,253.071,0.505665116,0.513849746,161,253,318,492,0.15646,1,0.95,6.82,8.07,0.02,1381,1,00:20:00,1200,00:20:00,1200,n,803,35197,0,0,0
12-11-2020,13:05,ACT,5,4,B,D_1,NA,K06,cont,12.8,10.8,F,33,176.045,256.002,0.545875969,0.519801015,174,259,319,498,0.15886,1,17.46,41.46,69.02,0.4,22302,77,00:12:40,760,00:00:10,10,n,7519,21447,4455,1680,899
12-11-2020,13:05,ACT,5,4,C,D_1,1370,K05,clip,13.4,11.8,M,42,175.003,256,0.542644961,0.519796954,172,257,317,494,0.1566,1,14.69,30.11,55.8,0.46,18753,78,00:11:30,690,00:00:09,9,n,7627,22863,2159,912,2439
12-11-2020,13:05,ACT,5,4,D,D_1,1476,K02,clip,15.4,13.2,M,53,159.003,250.162,0.493032558,0.507943147,158,254,320,500,0.16,1,13.19,40.66,53.28,0.3,16926,59,00:14:00,840,00:00:14,14,n,4789,20611,7262,1397,1941
12-11-2020,13:05,ACT,5,4,E,D_1,1262,K04,pit,13.1,10.9,F,36,167.027,263.03,0.517913178,0.534071066,167,262,322,491,0.1581,1,22.29,42.48,79.33,0.51,27906,46,00:07:53,473,00:00:10,10,n,2825,15272,8862,3873,5168
12-11-2020,13:05,ACT,5,4,F,D_1,NA,K01,cont,13.7,11.6,M,42,180.003,267.067,0.558148837,0.54226802,177,262,317,483,0.15311,1,10.4,46.29,34.82,0.21,12979,19,00:15:13,913,00:00:48,48,n,31412,4339,226,22,1
12-11-2020,13:05,ACT,5,4,G,D_2,1351,K07,pit,12.5,10.7,M,29,175.026,264.068,0.542716279,0.53617868,176,263,324,491,0.15908,1,1.57,44.11,8.97,0.02,2055,5,00:19:49,1189,00:03:58,238,n,94,34947,51,822,86
12-11-2020,13:05,ACT,5,4,H,D_2,NA,K11,cont,14.4,12.8,M,59,158.155,258.002,0.490403101,0.523861929,160,255,326,487,0.15876,1,37.57,58.51,119.46,0.63,46309,58,00:04:32,272,00:00:05,5,y,6455,24630,3478,1001,436
12-11-2020,14:10,ACT,5,5,A,D_2,1376,K10,clip,13.8,11.9,M,43,162.151,254.008,0.502793798,0.515752284,165,258,328,500,0.164,1,31.24,55.06,103.39,0.55,38771,74,00:06:58,418,00:00:06,6,y,2384,19151,9016,2726,2662
12-11-2020,14:10,ACT,5,5,B,D_2,1439,K08,pit,12.6,11,M,36,175.011,258.017,0.542669767,0.523892386,172,257,317,491,0.15565,1,14.81,54.8,53.75,0.26,18351,31,00:14:06,846,00:00:27,27,n,22619,7299,2013,2244,1825
12-11-2020,14:10,ACT,5,5,C,D_2,NA,K12,cont,15.1,13,M,48,173.012,254.071,0.536471318,0.515880203,171,259,319,502,0.16014,1,1.64,7.54,10.68,0.03,2375,4,00:19:58,1198,00:05:00,300,n,32053,3947,0,0,0
12-11-2020,14:10,ACT,5,5,D,D_2,1422,K09,clip,16.5,14.6,M,85,158.013,251.032,0.489962791,0.509709645,157,253,320,496,0.15872,1,11.81,47.34,38.58,0.23,14980,49,00:15:54,954,00:00:19,19,n,488,25241,7281,615,2375
12-11-2020,14:10,ACT,5,5,E,D_3,1264,K13,clip,13.3,11.5,F,44,163.028,262.002,0.505513178,0.531983756,162,266,320,500,0.16,1,34.14,54.71,105.13,0.61,42233,52,00:06:03,363,00:00:07,7,n,5163,15596,4555,3145,7541
12-11-2020,14:10,ACT,5,5,F,D_3,1265,K14,clip,16.8,14.8,M,80,179.003,262.002,0.555048062,0.531983756,180,263,324,494,0.16006,0.98,27.31,40.92,107.6,0.64,35745,40,00:04:24,264,00:00:07,7,n,2784,25343,4197,1308,1545
12-11-2020,14:10,ACT,5,5,G,D_3,NA,K16,cont,13.2,11,M,30,173.026,263.002,0.536514729,0.534014213,172,263,321,492,0.15793,1,5.23,46.44,19.49,0.1,6544,30,00:18:19,1099,00:00:37,37,n,11538,20809,2681,704,268
12-11-2020,14:10,ACT,5,5,H,D_3,NA,K17,cont,16.7,14,M,71,159.201,256.049,0.493646512,0.519896447,162,254,328,489,0.16039,1,28.41,47.84,101.48,0.58,36118,46,00:07:15,435,00:00:09,9,y,7043,25302,2243,888,524
12-11-2020,15:15,ACT,5,6,A,D_3,1375,K15,pit,13.4,11.3,M,39,163.15,255.125,0.505891473,0.518020305,164,259,324,500,0.162,0.98,42.46,57.05,105.07,0.73,52319,33,00:02:32,152,00:00:05,5,n,9447,20602,3657,674,981
12-11-2020,15:15,ACT,5,6,B,D_3,1380,K18,pit,13.3,11.3,M,39,176.071,257.002,0.545956589,0.521831472,177,257,324,492,0.15941,1,15.57,53.03,47.01,0.28,19257,89,00:15:18,918,00:00:10,10,n,2852,19616,8681,2507,2344
12-11-2020,15:15,ACT,5,6,C,D_4,1317,K24,clip,12.5,10.8,F,31,174.003,254.049,0.539544186,0.515835533,173,256,321,496,0.15922,1,25.14,48.78,73.63,0.5,30919,71,00:08:46,526,00:00:07,7,n,8976,18338,4292,1624,2593
12-11-2020,15:15,ACT,5,6,D,D_4,NA,K23,cont,13.4,11.1,M,31,159.003,252.198,0.493032558,0.512077157,157,254,318,496,0.15773,0.98,47.83,66.23,131.2,0.71,59539,46,00:04:00,240,00:00:05,5,n,13366,16278,3253,1761,449
12-11-2020,15:15,ACT,5,6,E,D_4,1332,K22,clip,12.9,10.6,M,39,166.003,264.047,0.514737984,0.536136041,164,263,319,491,0.15663,1,20.49,42.11,59.2,0.47,25557,70,00:10:09,609,00:00:09,9,n,8375,20043,2729,1334,3489
12-11-2020,15:15,ACT,5,6,F,D_4,NA,K20,cont,11.5,9.6,M,29,182,264.008,0.564341085,0.536056853,181,262,321,489,0.15697,0.98,30.09,42.8,90.8,0.69,37608,45,00:03:46,226,00:00:05,5,n,13428,15357,2549,1579,2546
12-11-2020,15:15,ACT,5,6,G,D_4,1256,K19,pit,12,10.5,M,20,177.045,264.002,0.548976744,0.53604467,174,267,317,498,0.15787,1,17.89,46,57.9,0.37,22375,114,00:13:23,803,00:00:07,7,n,5358,22577,4556,2019,1460
12-11-2020,15:15,ACT,5,6,H,D_4,1434,K21,pit,10.3,8.8,F,16,158.202,257.031,0.490548837,0.521890355,160,257,326,492,0.16039,0.96,22.88,43.77,73.16,0.49,28511,71,00:09:19,559,00:00:08,8,y,17232,10938,4123,1137,1222
20-11-2020,11:18,ACT,6,1,A,E_1,1496,K29,clip,14.3,12,F,46,165.027,258.194,0.511711628,0.524251777,166,257,324,490,0.15876,1,16.44,45.37,44.92,0.33,20408,69,00:14:37,877,00:00:13,13,n,1926,28819,3497,1221,537
20-11-2020,11:18,ACT,6,1,B,E_1,1263,K27,pit,15.7,13.6,M,59,175.011,257.008,0.542669767,0.521843655,176,259,324,496,0.1607,1,2.44,6.16,13.21,0.06,3474,1,00:20:00,1200,00:20:00,1200,n,0,36000,0,0,0
20-11-2020,11:18,ACT,6,1,C,E_1,1321,K28,clip,14.7,12.5,F,53,172.003,258.048,0.533342636,0.52395533,170,258,319,492,0.15695,1,1.42,5.69,8.68,0.01,2005,1,00:20:00,1200,00:20:00,1200,n,0,36000,0,0,0
20-11-2020,11:18,ACT,6,1,D,E_2,1371,K31,clip,13.5,11.5,F,39,158.013,253.284,0.489962791,0.514282234,158,253,322,492,0.15842,1,2.61,17.88,14.37,0.07,3628,11,00:19:30,1170,00:01:46,106,n,28193,7446,246,12,103
