"","FishID","PITID","TL","Weight","ConditionFactor","InfectionScore","Sex","Date","TimeLoaded","TimeInitiated","TrialType","TrialDay","TrialRound","ArenaID","UniqueID","TankID","emergelat","emergelat.bin","endpointlat","endpointlat.bin","endpointspeed","refugereturnlat","Notes"
"73","G35",2021,15.6,48,1.26435037677641,1,"m","16-07-2020","13:25","13:35","EXPL","trial 3","4","D","EXPL3_4D","D",2700,0,2700,0,NA,NA,""
"83","G40",2101,12.8,27,1.28746032714844,1,"m","09-07-2020","11:48","11:58","EXPL","trial 2","4","E","EXPL2_4E","C",2700,0,2700,0,NA,NA,""
"84","G40",2101,12.8,28,1.33514404296875,1,"m","16-07-2020","14:29","14:39","EXPL","trial 3","5","D","EXPL3_5D","C",2700,0,2700,0,NA,NA,"lethargic with wound"
"85","G41",2133,14.2,32,1.11759627393402,1,"m","02-07-2020","12:13","12:23","EXPL","trial 1","4","E","EXPL1_4E","C",2700,0,2700,0,NA,NA,""
"86","G41",2133,14.2,31,1.08267139037358,1,"m","09-07-2020","11:48","11:58","EXPL","trial 2","4","A","EXPL2_4A","C",2700,0,2700,0,NA,NA,"new looking wound on side"
"87","G42",2014,15.5,45,1.20841864992783,2,"m","02-07-2020","13:15","13:25","EXPL","trial 1","5","C","EXPL1_5C","C",2700,0,2700,0,NA,NA,""
"88","G44",2009,10.5,14,1.20937263794407,2,"m","02-07-2020","12:13","12:23","EXPL","trial 1","4","C","EXPL1_4C","C",115,0,2700,0,NA,54,""
"90","G44",2009,10.5,13,1.12298887809092,2,"m","16-07-2020","14:29","14:39","EXPL","trial 3","5","E","EXPL3_5E","C",77,0,2700,0,NA,40,""
"91","G45",2070,11,18,1.35236664162284,3,"f","02-07-2020","14:20","14:30","EXPL","trial 1","6","C","EXPL1_6C","C",2700,0,2700,0,NA,NA,""
"92","G46",2024,16.3,50,1.1545352337599,1,"m","02-07-2020","13:15","13:25","EXPL","trial 1","5","A","EXPL1_5A","C",297,0,2700,0,NA,631,""
"93","G46",2024,16.3,50,1.1545352337599,1,"m","09-07-2020","12:52","13:02","EXPL","trial 2","5","D","EXPL2_5D","C",2700,0,2700,0,NA,NA,""
"94","G46",2024,16.3,52,1.2007166431103,1,"m","16-07-2020","15:33","15:43","EXPL","trial 3","6","B","EXPL3_6B","C",2700,0,2700,0,NA,NA,""
"95","G48",2084,9.8,12,1.27497896284711,3,"f","02-07-2020","13:15","13:25","EXPL","trial 1","5","B","EXPL1_5B","C",2700,0,2700,0,NA,NA,""
"99","G51",2044,14,35,1.27551020408163,2,"m","02-07-2020","14:20","14:30","EXPL","trial 1","6","E","EXPL1_6E","C",2700,0,2700,0,NA,NA,""
"100","G51",2044,14,35,1.27551020408163,2,"m","09-07-2020","11:48","11:58","EXPL","trial 2","4","D","EXPL2_4D","C",2700,0,2700,0,NA,NA,""
"101","G51",2044,14,35,1.27551020408163,2,"m","16-07-2020","16:40","16:50","EXPL","trial 3","7","A","EXPL3_7A","C",2700,0,2700,0,NA,NA,""
"102","G52",1384,12.5,27,1.3824,1,"m","02-07-2020","13:15","13:25","EXPL","trial 1","5","E","EXPL1_5E","C",158,0,1130,0,972,26,""
"105","G53",1395,14.3,41,1.40208952375806,1,"m","02-07-2020","14:20","14:30","EXPL","trial 1","6","B","EXPL1_6B","C",166,0,249,0,83,150,""
"111","G55",2065,11.3,23,1.5940153732387,3,"m","02-07-2020","15:23","15:33","EXPL","trial 1","7","B","EXPL1_7B","C",360,0,2700,0,NA,33,""
"113","G55",2065,11.3,24,1.66332038946647,3,"m","16-07-2020","16:40","16:50","EXPL","trial 3","7","E","EXPL3_7E","C",273,0,2700,0,NA,19,""
