"","FishID","PITID","TL","Weight","ConditionFactor","InfectionScore","Sex","avespeed_tot.ACTT1","avespeed_mob.ACTT1","aveacceler.ACTT1","propmoving.ACTT1","dist.ACTT1","frozenevents.ACTT1","timefrozen_tot.ACTT1","centrescore.ACTT1","centretime50.ACTT1","centretime75.ACTT1","centretime100.ACTT1","emergelat.bin.EXPLT1","endpointlat.bin.EXPLT1","endpointspeed.EXPLT1","refugereturnlat.EXPLT1","avespeed_tot.MEAN","avespeed_mob.MEAN","aveacceler.MEAN","propmoving.MEAN","dist.MEAN","frozenevents.MEAN","timefrozen_tot.MEAN","centrescore.MEAN","centretime50.MEAN","centretime75.MEAN","centretime100.MEAN","emergelat.bin.MEAN","endpointlat.bin.MEAN","endpointspeed.MEAN","refugereturnlat.MEAN","avespeed_tot.COEF","avespeed_mob.COEF","aveacceler.COEF","propmoving.invlog.COEF","dist.COEF","frozenevents.sqrt.COEF","timefrozen_tot.sqrt.COEF","centrescore.COEF","centretime50.sqrt.COEF","centretime75.sqrt.COEF","centretime100.sqrt.COEF","emergelat.bin.COEF","endpointlat.bin.COEF","endpointspeed.ln.COEF","refugereturnlat.ln.COEF"
"16","G21",2038,17.3,70,1.35194719989524,3,"m",50.466,59.453,183.974,0.824,64554,7,41,2.91569422776911,692.833333333333,235.433333333333,56.0666666666667,1,1,26,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.0101133416369,38.7613277936026,107.536385932379,-0.981376242459568,37326.7133904751,6.14180082432436,19.5343287084011,2.16641667619963,17.061535377755,9.48716185769708,4.56816191197741,2.40207820608504,2.50102259161717,3.5243058427261,3.9264847969739
"17","G22",2030,13.3,31,1.31767034183344,2,"f",23.521,42.387,83.576,0.533,29846,76,514,2.20627777777778,280.566666666667,121.766666666667,36.2666666666667,0,0,NA,NA,16.6526666666667,30.2966666666667,65.2633333333333,0.443,21869,59.6666666666667,673.333333333333,2.1111963505986,334.466666666667,202.533333333333,45.7,0,0,NA,NA,16.4802263885114,31.7051359683216,60.5703919707985,-0.527613305972806,21447.8032487027,7.20384292735884,26.1541253747551,2.08481098597697,16.8068858640519,11.8111166804341,4.86354566362027,-2.50831804089075,-3.00853517086869,NA,NA
"18","G24",2228,15.5,46,1.235272397704,1,"m",19.12,35.836,76.977,0.505,25152,59,484,2.33510638297872,295.266666666667,139.366666666667,76.0333333333333,1,1,14,29,23.1726666666667,41.2766666666667,90.8353333333333,0.525333333333333,30823,47,493.333333333333,2.43132893702554,361.9,182.566666666667,92.5222222222221,1,1,20.3333333333333,26,11.4306534947365,32.1314313274661,50.9130943176486,-0.339193170957192,15868.4553538793,7.3762412431389,29.0945857412876,2.09330605538824,14.8664271559295,9.67090435676736,5.62999456510328,1.1917808211924,1.48060873192593,3.12237518229882,3.56989782076031
"19","G25",2122,13.7,29,1.12781092288768,1,"m",25.941,36.637,116.255,0.686,34641,29,173,1.81196271072904,118.4,24.0333333333333,5.26666666666667,1,1,22,66,28.0023333333333,39.5773333333333,124.091333333333,0.685666666666667,37060,35.6666666666667,223,1.78595544056386,106.877777777778,26.7666666666667,10.9333333333333,1,1,18.6666666666667,51.3333333333333,17.7721501217075,31.7069099545899,80.0552188468796,-0.717823292052663,23905.5047330348,6.50797470037819,22.3427742979781,1.73776592963532,9.12209397611009,4.54525194609516,1.8253315989763,1.79578223798458,1.26444524660743,3.3437927427526,3.85007595882699
"20","G26",2147,13,31,1.41101502048248,3,"f",34.738,46.434,120.822,0.734,43800,27,156,1.81156533206139,154.7,72.6,32.1333333333333,1,1,31,489,21.778,40.787,79.3556666666667,0.485666666666667,27842.6666666667,41.3333333333333,548.333333333333,1.85927016999442,161.466666666667,53.6333333333333,22.1222222222222,0.333333333333333,0.333333333333333,53.3333333333333,170,22.7345002640275,39.2114346224846,84.3075860763141,-0.806888279194703,29427.638473945,6.5499874262462,21.7620290076195,1.87151596363238,12.7608154768024,6.85412024623236,4.00196122638111,0.168743886784278,0.476404631247219,3.61463854176336,3.82356949952563
"21","G27",2116,13.4,28,1.16370697193471,1,"m",50.683,59.802,190.227,0.842,68459,16,75,1.70990572635466,119.733333333333,32.6666666666667,14.6,1,1,16,199,35.399,50.4966666666667,133.725,0.656,46658,39.3333333333333,276.666666666667,1.82205967816961,120.977777777778,44.3333333333334,22.9,0.666666666666667,0.666666666666667,NA,NA,24.4638478475338,38.773556496561,93.3620969063329,-0.803596904059022,32865.7144855823,6.61775160019014,22.3289587864943,1.77075682669531,9.9606054410147,5.90077780653086,3.08353799384007,-0.249972853532005,-0.853217258398457,3.19129784500182,4.10987914213643
"22","G28",2110,14.9,43,1.29989912178211,1,"m",23.811,48.465,85.111,0.502,30368,28,507,2.53931296558796,548.8,112.733333333333,25.8,1,1,15,51,28.3843333333333,48.5116666666667,103.826666666667,0.580333333333333,35841,31,425.666666666667,2.74118593902621,630.944444444444,254.844444444444,98.488888888889,1,0.666666666666667,NA,35.3333333333333,14.9709781413695,36.9129118907563,58.7627672874494,-0.431728898948841,19149.9596236461,6.7903205543427,28.3184457302918,2.31275817326549,19.9155369607646,11.7740098463457,5.91004711954509,0.91021792181777,-0.262765876380166,3.54850570606391,3.78873074971003
"23","G29",2156,16.7,60,1.28825500063017,1,"m",33.766,50.482,110.283,0.651,43480,39,243,2.40931050853137,410.766666666667,97.2666666666667,35.6333333333333,1,1,12,55,32.7606666666667,46.9493333333333,117.377666666667,0.677666666666667,42970.6666666667,35.3333333333333,274.666666666667,2.3109922248073,387.855555555556,85.4333333333333,24.4888888888889,1,1,17.3333333333333,48.3333333333333,16.7993470293965,35.77994882322,56.5574974184215,-0.478383343055056,21942.7341209262,7.15201997433656,26.6380759230005,1.97158233315139,15.1435231061723,7.19944418923365,3.18165383275153,1.34234395958699,1.43788317254054,2.96651952819612,3.84660243136083
"24","G30",2034,13,27,1.22894856622667,2,"m",37.65,50.9,131.625,0.708,47542,21,96,2.14683000983636,289.433333333333,79.9666666666667,41.6333333333333,1,1,22,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.9838669305736,34.4172097008376,90.8161767785341,-0.890937847320845,30024.9374586635,6.09971284922331,20.2782769999118,1.84668639214356,12.5255999295873,7.1108243686159,3.88396960793689,1.99029131541118,1.01727055719064,3.61862440570454,4.14142959514965
"25","G31",2089,13.7,39,1.51671124112481,1,"m",37.212,48.59,126.856,0.754,46727,11,46,1.79967172981695,96.4,42.0666666666667,27.6333333333333,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.0121073834312,33.3972858146008,72.3158934854566,-0.73306645126256,22109.9565564338,5.86362428702708,22.9792594929672,1.7526509078657,9.99360073819585,5.59713363201726,3.03903398407684,-4.70196146905952,-4.458302382136,NA,NA
