"","PITID","FishID","TL","InfectionScore","Sex","Date","TimeLoaded","TrialType","TrialDay","TrialRound","ArenaID","TankID","Weight","avespeed_tot","avespeed_mob","aveacceler","propmoving","dist","timefrozen_tot","timefrozen_ave","centretime","Notes","UniqueID","timefrozen_tot.ln","propmoving.exp","centretime.lnplus1"
"78",2116,"G27",13.4,1,"m","14-07-2020","09:42","ACT",3,1,"G","D","27",22.4446888,52.49478531,84.50549316,0.370197207,30368.54883,415.7,7.3,45,"possible cataract","ACT3_1G",6.02996384625859,1.44802014621696,3.8286413964891
"79",2116,"G27",13.4,1,"m","30-06-2020","11:28","ACT",1,3,"D","D","28",53.27090454,69.88514709,205.3202667,0.748676658,71356.05469,87.8,5.5,24.2,"","ACT1_3D",4.47506150064107,2.11420035444053,3.22684399451738
"80",2116,"G27",13.4,1,"m","07-07-2020","14:50","ACT",2,6,"F","D","29",36.91891098,64.75605774,146.7367096,0.537579119,46163.59766,221.7,6,38.1,"","ACT2_6F",5.40132511662227,1.71185763819152,3.66612246699132
"81",2119,"G34",15.4,2,"f","07-07-2020","14:50","ACT",2,6,"H","D","55",22.96009636,46.93788147,100.6687317,0.445586294,30272.33594,395.1,10.4,7.9,"","ACT2_6H",5.97913889741734,1.56140537012593,2.18605127673809
"82",2119,"G34",15.4,2,"f","14-07-2020","10:40","ACT",3,2,"C","D","53",2.572062492,15.39129925,16.39823723,0.034614958,4663.263184,1127.6,35.2,0,"moderate fin infection","ACT3_2C",7.02784675923996,1.03522102847497,0
"83",2119,"G34",15.4,2,"f","30-06-2020","11:28","ACT",1,3,"H","D","55",29.44417191,54.52335358,110.9964371,0.50731343,38407.92969,230.5,7,55.4,"","ACT1_3H",5.4402508624367,1.66082327795348,4.03246915850401
"84",2122,"G25",13.7,1,"m","30-06-2020","13:34","ACT",1,5,"A","D","29",27.28488731,46.17334747,122.3486099,0.550582767,36484.07422,94.7,5.9,10.9,"","ACT1_5A",4.55071400019203,1.73426339490746,2.47653840011748
"85",2122,"G25",13.7,1,"m","14-07-2020","09:42","ACT",3,1,"A","D","28",27.40758324,48.52625656,118.018959,0.529388726,36171.94141,282.5,6.6,2.9,"","ACT3_1A",5.6436785505865,1.69789411281391,1.3609765531356
"86",2122,"G25",13.7,1,"m","07-07-2020","14:50","ACT",2,6,"D","D","29",32.20535278,48.32897568,147.3959351,0.630643666,42278.37109,99.8,5.5,35.2,"","ACT2_6D",4.60316818331742,1.87881952239151,3.58905911883173
"87",2126,"G36",15.6,1,"m","07-07-2020","13:45","ACT",2,5,"E","D","52",27.21306419,45.6930542,104.623848,0.560310185,34807.34766,243.1,7.6,25.8,"","ACT2_5E",5.49347288132208,1.75121561687456,3.28840188751681
"88",2126,"G36",15.6,1,"m","30-06-2020","12:27","ACT",1,4,"H","D","52",43.80353546,56.24193573,169.1217499,0.757689834,56754.04297,16.4,5.5,26.5,"","ACT1_4H",2.79728133483015,2.13334214893018,3.31418600467253
"89",2126,"G36",15.6,1,"m","14-07-2020","09:42","ACT",3,1,"E","D","53",34.38957596,49.86284256,124.5514679,0.657494843,43960.74609,109.2,5.2,35.3,"","ACT3_1E",4.6931810633108,1.92995144197145,3.5918177412708
"90",2133,"G41",14.2,1,"m","07-07-2020","09:52","ACT",2,1,"E","C","31",21.51032829,46.391716,89.02384949,0.424824983,28153.36914,309.9,8.2,139.7,"","ACT2_1E",5.7362496647937,1.52932273876194,4.94662996412034
"91",2133,"G41",14.2,1,"m","30-06-2020","10:27","ACT",1,2,"H","C","32",10.85033894,54.24602127,39.13879013,0.170657858,14169.86816,828.7,23.7,8,"","ACT1_2H",6.719858207855,1.18608487014193,2.19722457733622
"92",2147,"G26",13,3,"f","07-07-2020","14:50","ACT",2,6,"B","D","31",19.80940628,53.48014832,80.4477005,0.324287385,25639.79883,568.1,12.4,41.8,"","ACT2_6B",6.34229745956308,1.38304471631782,3.75653810258775
"93",2147,"G26",13,3,"f","14-07-2020","09:42","ACT",3,1,"F","D","32",12.74363518,48.3531723,47.39408875,0.221679688,16848.72656,763,15.6,27.9,"moderate fin infection","ACT3_1F",6.63725803128446,1.24817150951383,3.36384159511839
"94",2147,"G26",13,3,"f","30-06-2020","12:27","ACT",1,4,"A","D","31",37.62119675,55.492733,135.9152527,0.653478026,47772.97656,89.3,5.3,45.2,"","ACT1_4A",4.49200148788245,1.92221472909261,3.83297979808769
"95",2153,"G06",13.2,1,"m","14-07-2020","11:36","ACT",3,3,"C","E","30",41.73993301,63.42619705,146.7123718,0.629170477,53501.11328,204.9,5.3,80.6,"","ACT3_3C",5.32252205524485,1.87605370392503,4.40182926197006
"96",2153,"G06",13.2,1,"m","07-07-2020","11:51","ACT",2,3,"C","E","29",52.02302933,71.11708069,160.4956665,0.683942437,65426.58203,79,6.1,53.3,"tracking failed to reach >90% detection","ACT2_3C",4.36944785246702,1.98167498081687,3.99452422693989
