Date,TimeLoaded,TrialType,TrialDay,TrialRound,ArenaID,TankID,PITID,Weight,avespeed_tot,avespeed_mob,aveacceler,propmoving,dist,timefrozen_tot,timefrozen_ave,centretime,Notes
07-07-2020,09:52,ACT,2,1,A,C,2009,13,21.93288612,59.6257019,84.38700104,0.339081585,27722.32813,547.5,6.5,67.4,
07-07-2020,09:52,ACT,2,1,B,C,1260,11,28.10732651,56.8012619,98.10406494,0.447166473,35235.30078,409,7.7,255.9,
07-07-2020,09:52,ACT,2,1,C,C,2070,18,3.723870754,37.54680634,22.28316879,0.040587842,5668.289551,1167,41.7,0.5,heavy skin infections
07-07-2020,09:52,ACT,2,1,D,C,1395,41,40.52087784,59.19631577,159.2367554,0.66108036,51548.54297,121.5,5.5,38.5,
07-07-2020,09:52,ACT,2,1,E,C,2133,31,21.51032829,46.391716,89.02384949,0.424824983,28153.36914,309.9,8.2,139.7,
07-07-2020,09:52,ACT,2,1,F,C,2024,50,34.06825638,54.89578247,120.1858139,0.581873536,43224.83594,105.3,5.3,93.4,
07-07-2020,09:52,ACT,2,1,G,C,2084,11,7.177793026,81.7110672,29.01316452,0.066312924,9578.140625,1119,36.1,14.1,heavy skin infections
07-07-2020,09:52,ACT,2,1,H,C,1384,27,45.39187241,63.22473907,158.824646,0.686397195,58162.32422,40.1,1,73.3,
07-07-2020,10:56,ACT,2,2,A,C,2112,32,36.86471176,60.9798851,123.1084137,0.57379663,46989.29297,55.5,5.5,40.3,
07-07-2020,10:56,ACT,2,2,B,C,2101,27,12.09745121,50.99975967,48.68787003,0.198966548,15800.65234,727.6,12.5,79.8,
07-07-2020,10:56,ACT,2,2,C,C,2044,35,23.67273712,46.72647858,97.59044647,0.467106402,32139.01172,409.9,12.1,1,
07-07-2020,10:56,ACT,2,2,D,C,1313,25,41.11387253,55.00705338,160.6928406,0.723602951,52893.10547,48.8,4.1,44.1,
07-07-2020,10:56,ACT,2,2,E,C,2065,24,28.64924431,61.99375534,100.5987549,0.433742642,35838.72266,198.4,6.4,110.2,
07-07-2020,10:56,ACT,2,2,F,C,2040,35,50.88685226,67.19674683,168.4738617,0.737402737,64063.67578,54.4,4.9,67.1,
07-07-2020,10:56,ACT,2,2,G,NOFISH,NOFISH,NOFISH,NA,NA,NA,NA,NA,NA,NA,NA,
07-07-2020,10:56,ACT,2,2,H,NOFISH,NOFISH,NOFISH,NA,NA,NA,NA,NA,NA,NA,NA,
07-07-2020,11:51,ACT,2,3,A,E,2016,35,23.43832779,64.70928192,76.68884277,0.335731745,29405.24023,569.1,8.5,28.1,heavy skin infections
07-07-2020,11:51,ACT,2,3,B,E,2019,38,27.70397568,42.40126419,106.3114548,0.617339611,36718.72266,125.7,5.7,24.4,heavy skin infections
07-07-2020,11:51,ACT,2,3,C,E,2153,29,52.02302933,71.11708069,160.4956665,0.683942437,65426.58203,79,6.1,53.3,tracking failed to reach >90% detection
07-07-2020,11:51,ACT,2,3,D,E,2156,61,36.35943604,56.86929703,136.3191376,0.615389109,47750.35547,193.5,6.9,28,
07-07-2020,11:51,ACT,2,3,E,E,2060,52,39.67568207,58.80266571,135.9953156,0.646796405,50397.68359,93.4,6.2,14.3,
07-07-2020,11:51,ACT,2,3,F,E,1286,36,16.44581795,59.01539612,56.07644272,0.252139121,20930.35352,807.8,31.1,276.5,heavy skin infections
07-07-2020,11:51,ACT,2,3,G,E,2182,39,28.46555901,48.07709122,106.6117859,0.539471328,38314.12891,208.2,6.7,44.7,
07-07-2020,11:51,ACT,2,3,H,E,2026,20,32.56209564,53.12212753,127.380867,0.579243243,41928.85547,133.2,6.1,14.5,
07-07-2020,12:50,ACT,2,4,A,E,2217,32,46.47907257,63.44868851,166.0714722,0.71306175,58011.85938,108,8.3,153.9,
07-07-2020,12:50,ACT,2,4,B,E,2045,58,38.32255173,54.58703232,147.1784668,0.660522223,50824.63672,156.7,12.1,125,tracking failed to reach >90% detection
07-07-2020,12:50,ACT,2,4,C,E,2233,37,3.328862906,50.65876007,14.42383194,0.032503612,5028.974121,1134.1,226.8,8.1,
07-07-2020,12:50,ACT,2,4,D,E,2099,30,25.7948494,56.14007187,100.2844238,0.417452574,32937.01172,266.4,7.4,31.4,
07-07-2020,12:50,ACT,2,4,E,E,2220,36,34.46004486,55.12825394,131.2836914,0.597037375,44280.88672,153.5,5.5,42.1,
07-07-2020,12:50,ACT,2,4,F,NOFISH,NOFISH,NOFISH,NA,NA,NA,NA,NA,NA,NA,NA,
