"","PITID","FishID","TL","InfectionScore","Sex","Date","TimeLoaded","TimeInitiated","TrialType","TrialDay","TrialRound","ArenaID","TankID","emergetime","emergelat","endpointtime","endpointlat","endpointspeed","refugereturntime","refugereturnlat","Notes","UniqueID","emergelat.bin.A","emergelat.bin.B","endpointlat.bin.A","endpointlat.bin.B","endpointspeed.ln","refugereturnlat.ln"
"109",2220,"G07",14.3,1,"m","16-07-2020","12:20","12:30","EXPL",3,3,"A","E","01:01",61,"01:25",85,24,"01:53",52,"","EXPL3_3A",1,0,1,1,3.17805383034795,3.95124371858143
"22",2019,"G19",13.4,3,"m","09-07-2020","09:38","09:48","EXPL",2,2,"A","E","00:25",25,"03:22",202,177,"01:37",72,"","EXPL2_2A",1,1,1,0,5.17614973257383,4.27666611901606
"103",2216,"G18",13.3,1,"m","16-07-2020","13:25","13:35","EXPL",3,4,"C","D","00:16",16,"03:53",233,217,"01:42",86,"","EXPL3_4C",1,1,1,0,5.37989735354046,4.45434729625351
"10",1384,"G52",12.5,1,"m(j)","02-07-2020","13:15","13:25","EXPL",1,5,"E","C","02:38",158,"18:50",1130,972,"03:04",26,"","EXPL1_5E",1,0,1,0,6.87935580446044,3.25809653802148
"14",1395,"G53",14.3,1,"m","02-07-2020","14:20","14:30","EXPL",1,6,"B","C","02:46",166,"04:09",249,83,"05:16",150,"","EXPL1_6B",1,0,1,0,4.4188406077966,5.01063529409626
"23",2019,"G19",13.4,3,"m","02-07-2020","16:25","16:35","EXPL",1,8,"C","E","01:10",70,"13:30",810,740,"02:20",70,"","EXPL1_8C",1,0,1,0,6.60665018619822,4.24849524204936
"51",2060,"G04",15.4,1,"m","16-07-2020","11:15","11:25","EXPL",3,2,"C","E","02:15",135,"05:48",348,213,"02:34",19,"","EXPL3_2C",1,0,1,0,5.36129216570943,2.94443897916644
"88",2147,"G26",13,3,"f","16-07-2020","14:29","14:39","EXPL",3,5,"B","D","02:14",134,"03:41",221,87,"02:31",17,"","EXPL3_5B",1,0,1,0,4.46590811865458,2.83321334405622
"110",2220,"G07",14.3,1,"m","02-07-2020","16:25","16:35","EXPL",1,8,"A","E","01:25",85,"03:49",229,144,"04:06",161,"","EXPL1_8A",1,0,1,0,4.969813299576,5.08140436498446
"13",1395,"G53",14.3,1,"m","16-07-2020","16:40","16:50","EXPL",3,7,"B","C","00:39",39,NA,2700,NA,"00:49",10,"","EXPL3_7B",1,1,0,0,NA,2.30258509299405
"54",2065,"G55",11.3,3,"m","09-07-2020","12:52","13:02","EXPL",2,5,"A","C","00:55",55,NA,2700,NA,"01:02",7,"","EXPL2_5A",1,1,0,0,NA,1.94591014905531
"69",2110,"G28",14.9,1,"m","16-07-2020","14:29","14:39","EXPL",3,5,"C","D","00:02",2,NA,2700,NA,"00:38",36,"","EXPL3_5C",1,1,0,0,NA,3.58351893845611
"16",2009,"G44",10.5,2,"m","02-07-2020","12:13","12:23","EXPL",1,4,"C","C","01:55",115,NA,2700,NA,"02:49",54,"","EXPL1_4C",1,0,0,0,NA,3.98898404656427
"17",2009,"G44",10.5,2,"m","16-07-2020","14:29","14:39","EXPL",3,5,"E","C","01:17",77,NA,2700,NA,"01:57",40,"","EXPL3_5E",1,0,0,0,NA,3.68887945411394
"52",2060,"G04",15.4,1,"m","09-07-2020","08:34","08:44","EXPL",2,1,"E","E","09:57",597,"24:35",1475,878,"10:29",32,"","EXPL2_1E",1,0,1,0,6.77764659363512,3.46573590279973
"86",2147,"G26",13,3,"f","09-07-2020","15:00","15:10","EXPL",2,7,"D","D","04:06",246,"04:48",288,42,"04:10",4,"","EXPL2_7D",1,0,1,0,3.73766961828337,1.38629436111989
"5",1286,"G13",13.8,3,"m","09-07-2020","09:38","09:48","EXPL",2,2,"C","E","04:17",257,NA,2700,NA,"04:42",25,"","EXPL2_2C",1,0,0,0,NA,3.2188758248682
"6",1286,"G13",13.8,3,"m","02-07-2020","17:27","17:37","EXPL",1,9,"A","E","18:54",1134,NA,2700,NA,"18:59",5,"","EXPL1_9A",1,0,0,0,NA,1.6094379124341
"26",2021,"G35",15.6,1,"m","02-07-2020","08:42","08:52","EXPL",1,1,"B","D","11:10",670,NA,2700,NA,"14:13",183,"","EXPL1_1B",1,0,0,0,NA,5.20948615284142
"29",2024,"G46",16.3,1,"m","02-07-2020","13:15","13:25","EXPL",1,5,"A","C","04:57",297,NA,2700,NA,"15:28",631,"","EXPL1_5A",1,0,0,0,NA,6.44730586254121
"33",2028,"G17",14.9,2,"m","09-07-2020","16:02","16:12","EXPL",2,8,"A","D","14:20",860,NA,2700,NA,"14:31",11,"","EXPL2_8A",1,0,0,0,NA,2.39789527279837
"55",2065,"G55",11.3,3,"m","16-07-2020","16:40","16:50","EXPL",3,7,"E","C","04:33",273,NA,2700,NA,"04:52",19,"","EXPL3_7E",1,0,0,0,NA,2.94443897916644
"56",2065,"G55",11.3,3,"m","02-07-2020","15:23","15:33","EXPL",1,7,"B","C","06:00",360,NA,2700,NA,"06:33",33,"","EXPL1_7B",1,0,0,0,NA,3.49650756146648
"62",2099,"G12",13.4,2,"m","02-07-2020","18:30","18:40","EXPL",1,10,"D","E","32:51",1971,NA,2700,NA,"33:11",20,"","EXPL1_10D",1,0,0,0,NA,2.99573227355399
"75",2119,"G34",15.4,2,"f","16-07-2020","12:20","12:30","EXPL",3,3,"C","D","28:39",1719,NA,2700,NA,"29:13",34,"","EXPL3_3C",1,0,0,0,NA,3.52636052461616
"114",2233,"G11",13.5,2,"m","16-07-2020","11:15","11:25","EXPL",3,2,"E","E","05:46",346,NA,2700,NA,"07:21",95,"","EXPL3_2E",1,0,0,0,NA,4.55387689160054
"115",2233,"G11",13.5,2,"m","02-07-2020","17:27","17:37","EXPL",1,9,"B","E","03:57",237,NA,2700,NA,"05:12",75,"","EXPL1_9B",1,0,0,0,NA,4.31748811353631
"19",2014,"G42",15.5,2,"m","02-07-2020","13:15","13:25","EXPL",1,5,"C","C",NA,2700,NA,2700,NA,NA,NA,"","EXPL1_5C",0,0,0,0,NA,NA
"24",2021,"G35",15.6,1,"m","09-07-2020","12:52","13:02","EXPL",2,5,"E","D",NA,2700,NA,2700,NA,NA,NA,"","EXPL2_5E",0,0,0,0,NA,NA
"25",2021,"G35",15.6,1,"m","16-07-2020","13:25","13:35","EXPL",3,4,"D","D",NA,2700,NA,2700,NA,NA,NA,"","EXPL3_4D",0,0,0,0,NA,NA
"27",2024,"G46",16.3,1,"m","09-07-2020","12:52","13:02","EXPL",2,5,"D","C",NA,2700,NA,2700,NA,NA,NA,"","EXPL2_5D",0,0,0,0,NA,NA
"28",2024,"G46",16.3,1,"m","16-07-2020","15:33","15:43","EXPL",3,6,"B","C",NA,2700,NA,2700,NA,NA,NA,"","EXPL3_6B",0,0,0,0,NA,NA
"34",2028,"G17",14.9,2,"m","16-07-2020","14:29","14:39","EXPL",3,5,"A","D",NA,2700,NA,2700,NA,NA,NA,"","EXPL3_5A",0,0,0,0,NA,NA
"35",2028,"G17",14.9,2,"m","02-07-2020","08:42","08:52","EXPL",1,1,"E","D",NA,2700,NA,2700,NA,NA,NA,"","EXPL1_1E",0,0,0,0,NA,NA
"36",2030,"G22",13.3,2,"f","09-07-2020","13:56","14:06","EXPL",2,6,"B","D",NA,2700,NA,2700,NA,NA,NA,"","EXPL2_6B",0,0,0,0,NA,NA
"37",2030,"G22",13.3,2,"f","02-07-2020","11:07","11:17","EXPL",1,3,"B","D",NA,2700,NA,2700,NA,NA,NA,"","EXPL1_3B",0,0,0,0,NA,NA
"38",2030,"G22",13.3,2,"f","16-07-2020","12:20","12:30","EXPL",3,3,"E","D",NA,2700,NA,2700,NA,NA,NA,"","EXPL3_3E",0,0,0,0,NA,NA
"45",2044,"G51",14,2,"m","09-07-2020","11:48","11:58","EXPL",2,4,"D","C",NA,2700,NA,2700,NA,NA,NA,"","EXPL2_4D",0,0,0,0,NA,NA
"46",2044,"G51",14,2,"m","16-07-2020","16:40","16:50","EXPL",3,7,"A","C",NA,2700,NA,2700,NA,NA,NA,"","EXPL3_7A",0,0,0,0,NA,NA
"47",2044,"G51",14,2,"m","02-07-2020","14:20","14:30","EXPL",1,6,"E","C",NA,2700,NA,2700,NA,NA,NA,"","EXPL1_6E",0,0,0,0,NA,NA
"48",2045,"G14",16.3,2,"m","02-07-2020","17:27","17:37","EXPL",1,9,"C","E",NA,2700,NA,2700,NA,NA,NA,"","EXPL1_9C",0,0,0,0,NA,NA
"49",2045,"G14",16.3,2,"m","16-07-2020","10:11","10:21","EXPL",3,1,"E","E",NA,2700,NA,2700,NA,NA,NA,"","EXPL3_1E",0,0,0,0,NA,NA
"50",2045,"G14",16.3,2,"m","09-07-2020","08:34","08:44","EXPL",2,1,"B","E",NA,2700,NA,2700,NA,NA,NA,"","EXPL2_1B",0,0,0,0,NA,NA
"53",2060,"G04",15.4,1,"m","02-07-2020","18:30","18:40","EXPL",1,10,"C","E",NA,2700,NA,2700,NA,NA,NA,"","EXPL1_10C",0,0,0,0,NA,NA
"57",2070,"G45",11,3,"f","02-07-2020","14:20","14:30","EXPL",1,6,"C","C",NA,2700,NA,2700,NA,NA,NA,"","EXPL1_6C",0,0,0,0,NA,NA
