"","Mean","SD","2.5%","5%","25%","50%","75%","95%","97.5%","text"
"p.G52.P02",0.613,0.116,0.368,0.431,0.548,0.615,0.685,0.799,0.831,"61.3% [36.8%, 83.1%]"
"p.G53.P02",0.13,0.13,0.002,0.005,0.035,0.087,0.18,0.413,0.505,"13% [0.2%, 50.5%]"
"p.G54.P02",0.025,0.028,0,0.001,0.005,0.016,0.035,0.084,0.103,"2.5% [0%, 10.3%]"
"p.G55.P02",0.668,0.111,0.445,0.499,0.599,0.668,0.74,0.849,0.87,"66.8% [44.5%, 87%]"
"p.G01.P03",0.146,0.137,0.001,0.001,0.025,0.112,0.242,0.391,0.442,"14.6% [0.1%, 44.2%]"
"p.G02.P03",0.101,0.093,0.001,0.002,0.021,0.077,0.16,0.272,0.319,"10.1% [0.1%, 31.9%]"
"p.G03.P03",0.073,0.088,0.001,0.001,0.012,0.041,0.104,0.253,0.322,"7.3% [0.1%, 32.2%]"
"p.G04.P03",0.07,0.086,0.001,0.001,0.011,0.037,0.099,0.249,0.305,"7% [0.1%, 30.5%]"
"p.G05.P03",0.032,0.04,0,0.001,0.005,0.016,0.045,0.116,0.149,"3.2% [0%, 14.9%]"
"p.G06.P03",0.222,0.164,0.001,0.003,0.057,0.234,0.343,0.47,0.529,"22.2% [0.1%, 52.9%]"
"p.G07.P03",0.044,0.058,0,0,0.005,0.021,0.063,0.155,0.191,"4.4% [0%, 19.1%]"
"p.G08.P03",0.014,0.019,0,0,0.002,0.007,0.019,0.053,0.068,"1.4% [0%, 6.8%]"
"p.G09.P03",0.274,0.209,0.003,0.007,0.082,0.25,0.431,0.631,0.697,"27.4% [0.3%, 69.7%]"
"p.G10.P03",0.046,0.051,0,0.001,0.008,0.027,0.067,0.156,0.182,"4.6% [0%, 18.2%]"
"p.G11.P03",0.218,0.179,0.002,0.005,0.056,0.184,0.348,0.54,0.596,"21.8% [0.2%, 59.6%]"
"p.G12.P03",0.102,0.104,0.001,0.002,0.019,0.064,0.156,0.311,0.366,"10.2% [0.1%, 36.6%]"
"p.G13.P03",0.045,0.053,0,0.001,0.007,0.026,0.064,0.153,0.187,"4.5% [0%, 18.7%]"
"p.G14.P03",0.206,0.137,0.004,0.007,0.086,0.204,0.304,0.438,0.471,"20.6% [0.4%, 47.1%]"
"p.G15.P03",0.073,0.08,0.001,0.002,0.014,0.044,0.109,0.241,0.29,"7.3% [0.1%, 29%]"
"p.G16.P03",0.009,0.014,0,0,0.001,0.004,0.011,0.034,0.045,"0.9% [0%, 4.5%]"
"p.G17.P03",0.121,0.1,0.001,0.002,0.031,0.105,0.192,0.296,0.332,"12.1% [0.1%, 33.2%]"
"p.G18.P03",0.025,0.033,0,0,0.004,0.013,0.035,0.094,0.118,"2.5% [0%, 11.8%]"
"p.G19.P03",0.132,0.179,0.001,0.002,0.014,0.051,0.163,0.575,0.638,"13.2% [0.1%, 63.8%]"
"p.G20.P03",0.022,0.03,0,0,0.003,0.01,0.029,0.081,0.103,"2.2% [0%, 10.3%]"
"p.G21.P03",0.031,0.039,0,0.001,0.005,0.016,0.042,0.111,0.146,"3.1% [0%, 14.6%]"
"p.G22.P03",0.044,0.051,0,0.001,0.008,0.026,0.062,0.15,0.187,"4.4% [0%, 18.7%]"
"p.G23.P03",0.034,0.037,0,0.001,0.007,0.021,0.049,0.113,0.136,"3.4% [0%, 13.6%]"
"p.G24.P03",0.474,0.192,0.008,0.035,0.396,0.503,0.598,0.74,0.783,"47.4% [0.8%, 78.3%]"
"p.G25.P03",0.303,0.164,0.005,0.012,0.183,0.333,0.42,0.535,0.574,"30.3% [0.5%, 57.4%]"
"p.G26.P03",0.671,0.275,0.006,0.021,0.579,0.749,0.869,0.968,0.984,"67.1% [0.6%, 98.4%]"
"p.G27.P03",0.258,0.153,0.005,0.012,0.125,0.273,0.375,0.492,0.532,"25.8% [0.5%, 53.2%]"
