"","Mean","SD","2.5%","5%","25%","50%","75%","95%","97.5%","text"
"p.G20.P04",0.053,0.083,0,0.001,0.004,0.017,0.063,0.243,0.312,"5.3% [0%, 31.2%]"
"p.G21.P04",0.137,0.172,0,0,0.005,0.035,0.259,0.486,0.54,"13.7% [0%, 54%]"
"p.G22.P04",0.165,0.197,0,0.001,0.006,0.05,0.32,0.544,0.611,"16.5% [0%, 61.1%]"
"p.G23.P04",0.111,0.132,0,0.001,0.006,0.045,0.197,0.38,0.439,"11.1% [0%, 43.9%]"
"p.G24.P04",0.051,0.075,0,0.001,0.006,0.021,0.064,0.209,0.277,"5.1% [0%, 27.7%]"
"p.G25.P04",0.03,0.039,0,0.001,0.004,0.015,0.041,0.113,0.149,"3% [0%, 14.9%]"
"p.G26.P04",0.028,0.046,0,0.001,0.004,0.012,0.033,0.117,0.149,"2.8% [0%, 14.9%]"
"p.G27.P04",0.06,0.085,0.001,0.001,0.006,0.023,0.078,0.252,0.32,"6% [0.1%, 32%]"
"p.G28.P04",0.051,0.065,0,0.001,0.007,0.024,0.071,0.191,0.233,"5.1% [0%, 23.3%]"
"p.G29.P04",0.065,0.097,0,0.001,0.006,0.022,0.081,0.281,0.369,"6.5% [0%, 36.9%]"
"p.G30.P04",0.021,0.035,0,0,0.002,0.007,0.025,0.091,0.126,"2.1% [0%, 12.6%]"
"p.G31.P04",0.041,0.065,0,0.001,0.004,0.017,0.047,0.17,0.247,"4.1% [0%, 24.7%]"
"p.G32.P04",0.034,0.046,0,0.001,0.005,0.016,0.045,0.128,0.165,"3.4% [0%, 16.5%]"
"p.G33.P04",0.084,0.104,0.001,0.001,0.008,0.035,0.13,0.303,0.354,"8.4% [0.1%, 35.4%]"
"p.G35.P04",0.049,0.078,0,0.001,0.005,0.018,0.059,0.213,0.298,"4.9% [0%, 29.8%]"
"p.G36.P04",0.065,0.089,0.001,0.001,0.007,0.027,0.088,0.261,0.332,"6.5% [0.1%, 33.2%]"
"p.G37.P04",0.021,0.034,0,0,0.002,0.008,0.026,0.083,0.112,"2.1% [0%, 11.2%]"
"p.G38.P04",0.048,0.066,0,0.001,0.005,0.018,0.067,0.194,0.233,"4.8% [0%, 23.3%]"
"p.G39.P04",0.022,0.032,0,0,0.003,0.009,0.026,0.084,0.113,"2.2% [0%, 11.3%]"
"p.G40.P04",0.038,0.056,0,0,0.004,0.015,0.048,0.155,0.205,"3.8% [0%, 20.5%]"
"p.G41.P04",0.084,0.12,0,0.001,0.006,0.025,0.113,0.36,0.412,"8.4% [0%, 41.2%]"
"p.G42.P04",0.059,0.086,0,0.001,0.005,0.021,0.077,0.247,0.306,"5.9% [0%, 30.6%]"
"p.G43.P04",0.047,0.061,0,0.001,0.006,0.021,0.063,0.176,0.216,"4.7% [0%, 21.6%]"
"p.G44.P04",0.046,0.063,0,0.001,0.006,0.021,0.06,0.184,0.238,"4.6% [0%, 23.8%]"
"p.G45.P04",0.139,0.181,0,0.001,0.007,0.039,0.233,0.527,0.599,"13.9% [0%, 59.9%]"
"p.G46.P04",0.055,0.072,0,0.001,0.007,0.026,0.075,0.208,0.267,"5.5% [0%, 26.7%]"
"p.G47.P04",0.028,0.042,0,0.001,0.004,0.012,0.035,0.107,0.148,"2.8% [0%, 14.8%]"
"p.G48.P04",0.057,0.121,0,0,0.003,0.012,0.051,0.285,0.488,"5.7% [0%, 48.8%]"
"p.G49.P04",0.079,0.096,0,0.001,0.008,0.035,0.124,0.283,0.337,"7.9% [0%, 33.7%]"
"p.G50.P04",0.125,0.162,0,0.001,0.008,0.04,0.201,0.472,0.525,"12.5% [0%, 52.5%]"
"p.G51.P04",0.035,0.046,0,0.001,0.005,0.016,0.048,0.136,0.173,"3.5% [0%, 17.3%]"
"p.G52.P04",0.03,0.041,0,0,0.004,0.014,0.038,0.112,0.15,"3% [0%, 15%]"
"p.G53.P04",0.042,0.053,0,0.001,0.006,0.02,0.059,0.155,0.196,"4.2% [0%, 19.6%]"
"p.G54.P04",0.017,0.029,0,0,0.002,0.007,0.021,0.066,0.089,"1.7% [0%, 8.9%]"
"p.G55.P04",0.033,0.046,0,0,0.004,0.015,0.043,0.136,0.166,"3.3% [0%, 16.6%]"
"p.G01.P05",0.045,0.038,0.001,0.002,0.013,0.037,0.069,0.12,0.136,"4.5% [0.1%, 13.6%]"
"p.G02.P05",0.067,0.057,0.002,0.004,0.021,0.053,0.1,0.179,0.204,"6.7% [0.2%, 20.4%]"
"p.G03.P05",0.083,0.073,0.002,0.004,0.024,0.061,0.126,0.232,0.256,"8.3% [0.2%, 25.6%]"
