Vandområde;MarinReferenceKode;Lokalitetsnavn;ObservationsStedNr;ObservationsStedNavn;MC-stationsnr;Dato;Tid;MiljøcenterNavn;Dataleverandør;Antal delprøver (stk);Prøvenummer;Dybde (m);Prøvetagningsudstyr;Prøveredskabsareal (cm2);Maskevidde (um);Haps breddegrad;Haps længdegrad;Haps X_UTM;Haps Y_UTM;Artsrække;Artsnavn;Stadie;Antal (stk);Biomasse vådvægt (g);Biomasse tørvægt (g);Askevægt (g);Kontrol;Kvalitet;ObsSted_bredde;ObsSted_længde;ObsSted_X_UTM;ObsSted_Y_UTM
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250152";"625 Guldborg Sund";"BF Bredningen";"2013-05-21";"0";"Naturstyrelsen";"Naturstyrelsen";"42";"32";"1.80";"Haps";"143";"1000";"5441,956";"1150,241";"682831";"6065023";"Mollusca";"Mytilus edulis";"Ej oplyst";"2";"1,1768";"0,5992";"";"ElekK";"GODK";"5442,429";"1151,764";"684431";"6065966"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250152";"625 Guldborg Sund";"BF Bredningen";"2013-05-21";"0";"Naturstyrelsen";"Naturstyrelsen";"42";"33";"1.80";"Haps";"143";"1000";"5442,158";"1150,511";"683106";"6065409";"Annelida";"Hediste diversicolor";"Ej oplyst";"1";"0,0098";"0,0013";"";"ElekK";"GODK";"5442,429";"1151,764";"684431";"6065966"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250152";"625 Guldborg Sund";"BF Bredningen";"2013-05-21";"0";"Naturstyrelsen";"Naturstyrelsen";"42";"33";"1.80";"Haps";"143";"1000";"5442,158";"1150,511";"683106";"6065409";"Arthropoda";"Idotea balthica";"Ej oplyst";"3";"0,0322";"0,0051";"";"ElekK";"GODK";"5442,429";"1151,764";"684431";"6065966"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250152";"625 Guldborg Sund";"BF Bredningen";"2013-05-21";"0";"Naturstyrelsen";"Naturstyrelsen";"42";"33";"1.80";"Haps";"143";"1000";"5442,158";"1150,511";"683106";"6065409";"Arthropoda";"Chironomidae indet.";"Ej oplyst";"27";"0,2094";"0,0224";"";"ElekK";"GODK";"5442,429";"1151,764";"684431";"6065966"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250152";"625 Guldborg Sund";"BF Bredningen";"2013-05-21";"0";"Naturstyrelsen";"Naturstyrelsen";"42";"33";"1.80";"Haps";"143";"1000";"5442,158";"1150,511";"683106";"6065409";"Mollusca";"Hydrobia sp.";"Ej oplyst";"4";"0,0384";"0,0226";"";"ElekK";"GODK";"5442,429";"1151,764";"684431";"6065966"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250152";"625 Guldborg Sund";"BF Bredningen";"2013-05-21";"0";"Naturstyrelsen";"Naturstyrelsen";"42";"33";"1.80";"Haps";"143";"1000";"5442,158";"1150,511";"683106";"6065409";"Mollusca";"Mytilus edulis";"Ej oplyst";"1";"0,0563";"0,0351";"";"ElekK";"GODK";"5442,429";"1151,764";"684431";"6065966"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250152";"625 Guldborg Sund";"BF Bredningen";"2013-05-21";"0";"Naturstyrelsen";"Naturstyrelsen";"42";"34";"2.00";"Haps";"143";"1000";"5442,047";"1150,036";"682604";"6065183";"Mollusca";"Theodoxus fluviatilis";"Ej oplyst";"1";"0,0053";"0,0024";"";"ElekK";"GODK";"5442,429";"1151,764";"684431";"6065966"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250152";"625 Guldborg Sund";"BF Bredningen";"2013-05-21";"0";"Naturstyrelsen";"Naturstyrelsen";"42";"34";"2.00";"Haps";"143";"1000";"5442,047";"1150,036";"682604";"6065183";"Mollusca";"Hydrobia sp.";"Ej oplyst";"7";"0,1218";"0,0656";"";"ElekK";"GODK";"5442,429";"1151,764";"684431";"6065966"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250152";"625 Guldborg Sund";"BF Bredningen";"2013-05-21";"0";"Naturstyrelsen";"Naturstyrelsen";"42";"34";"2.00";"Haps";"143";"1000";"5442,047";"1150,036";"682604";"6065183";"Mollusca";"Pusillina sarsi";"Ej oplyst";"1";"0,0144";"0,0071";"";"ElekK";"GODK";"5442,429";"1151,764";"684431";"6065966"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250152";"625 Guldborg Sund";"BF Bredningen";"2013-05-21";"0";"Naturstyrelsen";"Naturstyrelsen";"42";"34";"2.00";"Haps";"143";"1000";"5442,047";"1150,036";"682604";"6065183";"Mollusca";"Mytilus edulis";"Ej oplyst";"4";"4,3642";"2,0962";"";"ElekK";"GODK";"5442,429";"1151,764";"684431";"6065966"
