sourceID,sortID,rep,sampleID,date_packed,weight_packed (mg),rack,row,position,d15N,d13C,N_percentage,C_percentage,runline,runID,date_data,Notes
G28,fin,B,G28B,29-07-2020,0.57,1,E,1,11.82483333,-17.40333333,0.120399862,0.421625731,40,Nick Moran 2020 0417 201025 set 2,07-11-2020,
G28,fin,C,G28C,29-07-2020,0.55,1,E,2,11.84733333,-17.2388,0.123126115,0.448298223,17,Nick Moran 2020 0417 201107 set 3,07-11-2020,
G29,fin,A,G29A,29-07-2020,0.53,1,E,3,10.97866667,-16.96033333,0.123955329,0.432499498,38,Nick Moran 2020 0417 201025 set 1,07-11-2020,
G30,fin,A,G30A,29-07-2020,0.57,1,E,4,10.95566667,-13.50833333,0.103886002,0.337743284,39,Nick Moran 2020 0417 201025 set 1,07-11-2020,
G31,fin,A,G31A,29-07-2020,0.49,1,E,5,10.69566667,-17.15933333,0.127440644,0.43281234,40,Nick Moran 2020 0417 201025 set 1,07-11-2020,
G32,fin,A,G32A,29-07-2020,0.46,1,E,6,12.04066667,-16.17533333,0.132412493,0.469378015,41,Nick Moran 2020 0417 201025 set 1,07-11-2020,
G33,fin,A,G33A,29-07-2020,0.48,1,E,7,10.77266667,-15.29233333,0.107589016,0.363417532,42,Nick Moran 2020 0417 201025 set 1,07-11-2020,
G34,fin,A,G34A,29-07-2020,0.49,1,E,8,13.32166667,-21.92333333,0.073125699,0.244493457,43,Nick Moran 2020 0417 201025 set 1,07-11-2020,
G34,fin,B,G34B,29-07-2020,0.48,1,E,9,13.74833333,-22.2688,0.090363732,0.314506524,18,Nick Moran 2020 0417 201107 set 3,07-11-2020,
G34,fin,C,G34C,29-07-2020,0.55,1,E,10,13.51933333,-22.1388,0.072690384,0.24984668,19,Nick Moran 2020 0417 201107 set 3,07-11-2020,
G35,fin,A,G35A,29-07-2020,0.52,1,E,11,11.17183333,-17.96733333,0.096508419,0.340458565,6,Nick Moran 2020 0417 201025 set 2,07-11-2020,
G35,fin,B,G35B,29-07-2020,0.49,1,E,12,10.75033333,-17.5058,0.094067133,0.324121659,24,Nick Moran 2020 0417 201107 set 3,07-11-2020,
G35,fin,C,G35C,29-07-2020,0.49,1,F,1,10.63933333,-17.3608,0.110855474,0.380433669,25,Nick Moran 2020 0417 201107 set 3,07-11-2020,
G36,fin,A,G36A,29-07-2020,0.49,1,F,2,11.40083333,-17.69133333,0.12128054,0.43112866,7,Nick Moran 2020 0417 201025 set 2,07-11-2020,
G37,fin,A,G37A,29-07-2020,0.51,1,F,3,10.73383333,-18.34233333,0.096422892,0.328522908,8,Nick Moran 2020 0417 201025 set 2,07-11-2020,
G38,fin,A,G38A,29-07-2020,0.56,1,F,4,11.25183333,-15.04433333,0.098160382,0.33839709,9,Nick Moran 2020 0417 201025 set 2,07-11-2020,
G39,fin,A,G39A,29-07-2020,0.59,1,F,5,10.91483333,-14.62533333,0.115328447,0.398816446,10,Nick Moran 2020 0417 201025 set 2,07-11-2020,
G40,fin,A,G40A,29-07-2020,0.55,1,F,6,10.05983333,-18.10533333,0.089151609,0.305628126,11,Nick Moran 2020 0417 201025 set 2,07-11-2020,
