"","PITID","FishID","TL","Weight","ConditionFactor","InfectionScore","Sex","Date","TimeLoaded","TrialType","TrialDay","TrialRound","ArenaID","UniqueID","TankID","avespeed_tot","avespeed_mob","aveacceler","propmoving","propmoving.exp","dist","timefrozen_tot","timefrozen_tot.ln","timefrozen_ave","centretime","centretime.lnplus1","Notes"
"36",2028,"G17",14.9,45,1.36035954605104,2,"m","07-07-2020","14:50","ACT",2,6,"G","ACT2_6G","D",28.66424561,60.24682999,114.620079,0.445646405,1.56149923058512,36002.04688,449.5,6.10813585391167,11.8,27.1,3.3357695763397,""
"37",2030,"G22",13.3,31,1.31767034183344,2,"f","30-06-2020","11:28","ACT",1,3,"E","ACT1_3E","D",24.21972847,54.62835693,86.71794128,0.409962207,1.50676083902439,30717.77148,42.6,3.75185425327532,6.5,55.9,4.04129534113228,""
"38",2030,"G22",13.3,32,1.36017583673129,2,"f","14-07-2020","09:42","ACT",3,1,"H","ACT3_1H","D",4.256118298,20.82761955,25.62083626,0.07423047,1.07705500576094,7066.549805,899.9,6.8022836460399,12,232.1,5.45146754604171,"moderate fin infection"
"39",2030,"G22",13.3,32,1.36017583673129,2,"f","07-07-2020","13:45","ACT",2,5,"D","ACT2_5D","D",22.90641975,49.32164764,89.71540833,0.415410995,1.51499326741354,29633.74023,368.3,5.90889782345102,6.2,139.7,4.94662996412034,""
"40",2034,"G30",13,27,1.22894856622667,2,"m","30-06-2020","12:27","ACT",1,4,"B","ACT1_4B","D",40.45141602,61.55904388,144.4046326,0.610486031,1.84132612290904,51136.94922,67.1,4.20618404397764,4.1,57.8,4.07414185490458,""
"41",2034,"G30",13,26,1.18343195266272,2,"m","07-07-2020","13:45","ACT",2,5,"H","ACT2_5H","D",34.27407074,47.03160477,153.2724457,0.704798996,2.02343992452489,45060.10156,128,4.85203026391962,5.8,37.6,3.65325227647079,""
"42",2038,"G21",17.3,70,1.35194719989524,3,"m","30-06-2020","11:28","ACT",1,3,"C","ACT1_3C","D",51.64512253,66.32027435,183.0036011,0.749348283,2.11562078119725,65978.78125,33.2,3.50254987592244,4.7,78,4.36944785246702,"tracking failed to reach >90% detection"
"43",2040,"G49",13.2,35,1.52176030275204,2,"m","30-06-2020","10:27","ACT",1,2,"C","ACT1_2C","C",54.8841629,70.04046631,147.2184906,0.737959683,2.09166350124586,69119.28125,33.2,3.50254987592244,4.2,68.4,4.23988686751276,"tracking failed to reach >90% detection"
"44",2040,"G49",13.2,35,1.52176030275204,2,"m","07-07-2020","10:56","ACT",2,2,"F","ACT2_2F","C",50.88685226,67.19674683,168.4738617,0.737402737,2.09049888197062,64063.67578,54.4,3.9963641538619,4.9,67.1,4.22097721315547,""
"45",2040,"G49",13.2,36,1.56523916854495,2,"m","14-07-2020","12:34","ACT",3,4,"H","ACT3_4H","C",43.86082077,58.68994141,154.0198975,0.718587756,2.05153389741948,54948.60938,82.9,4.41763506214125,6.9,32.3,3.5055573969864,"moderate fin infection"
"46",2044,"G51",14,35,1.27551020408163,2,"m","30-06-2020","09:17","ACT",1,1,"F","ACT1_1F","C",27.23720741,67.98152161,82.09333801,0.374902755,1.45484993085749,34586.71875,488.8,6.19195340785739,16.9,0.9,0.641853886172395,""
"47",2044,"G51",14,35,1.27551020408163,2,"m","14-07-2020","12:34","ACT",3,4,"F","ACT3_4F","C",1.619325161,19.0460186,8.718090057,0.00352817,1.003534401318,2927.288818,1195.4,7.08623613639015,597.7,0,0,"moderate fin infection"
"48",2044,"G51",14,35,1.27551020408163,2,"m","07-07-2020","10:56","ACT",2,2,"C","ACT2_2C","C",23.67273712,46.72647858,97.59044647,0.467106402,1.59537114506699,32139.01172,409.9,6.01591322751029,12.1,1,0.693147180559945,""
"49",2045,"G14",16.3,58,1.33926087116149,2,"m","07-07-2020","12:50","ACT",2,4,"B","ACT2_4B","E",38.32255173,54.58703232,147.1784668,0.660522223,1.93580299133046,50824.63672,156.7,5.05433314936197,12.1,125,4.83628190695148,"tracking failed to reach >90% detection"
"50",2045,"G14",16.3,58,1.33926087116149,2,"m","30-06-2020","14:40","ACT",1,6,"F","ACT1_6F","E",31.05964088,58.23539734,113.2615356,0.492878139,1.63702102021517,40758.18359,228.2,5.43022243742798,8.8,26.3,3.30688670219091,""
"51",2045,"G14",16.3,59,1.36235157583669,2,"m","14-07-2020","11:36","ACT",3,3,"D","ACT3_3D","E",26.96879768,53.76424408,117.776535,0.461205423,1.58598461553734,36461.58984,484.4,6.18291101167894,32.3,37,3.63758615972639,"moderate fin infection"
"52",2060,"G04",15.4,52,1.42377440404089,1,"m","07-07-2020","11:51","ACT",2,3,"E","ACT2_3E","E",39.67568207,58.80266571,135.9953156,0.646796405,1.90941403112127,50397.68359,93.4,4.5368913452348,6.2,14.3,2.72785282839839,""
