"","PITID","FishID","TL","Weight","ConditionFactor","InfectionScore","Sex","Date","TimeLoaded","TimeInitiated","TrialType","TrialDay","TrialRound","ArenaID","UniqueID","TankID","emergetime","emergelat","emergelat.bin","endpointtime","endpointlat","endpointlat.bin","endpointspeed","endpointspeed.ln","refugereturntime","refugereturnlat","refugereturnlat.ln","Notes"
"64",2034,"G30",13,27,1.22894856622667,2,"m","02-07-2020","09:58","10:08","EXPL",1,2,"E","EXPL1_2E","D","00:01",1,1,"00:23",23,1,22,3.09104245335832,"00:53",52,3.95124371858143,""
"65",2034,"G30",13,26,1.18343195266272,2,"m","09-07-2020","13:56","14:06","EXPL",2,6,"C","EXPL2_6C","D","00:07",7,1,"01:16",76,1,69,4.23410650459726,"02:27",140,4.9416424226093,""
"66",2089,"G31",13.7,39,1.51671124112481,1,"m","02-07-2020","08:42","08:52","EXPL",1,1,"D","EXPL1_1D","D",NA,2700,0,NA,2700,0,NA,NA,NA,NA,NA,""
"67",2089,"G31",13.7,39,1.51671124112481,1,"m","09-07-2020","15:00","15:10","EXPL",2,7,"C","EXPL2_7C","D",NA,2700,0,NA,2700,0,NA,NA,NA,NA,NA,""
"68",2119,"G34",15.4,55,1.50591523504325,2,"f","02-07-2020","09:58","10:08","EXPL",1,2,"C","EXPL1_2C","D","00:13",13,1,"00:38",38,1,25,3.2188758248682,"01:17",64,4.15888308335967,""
"69",2119,"G34",15.4,55,1.50591523504325,2,"f","09-07-2020","16:02","16:12","EXPL",2,8,"B","EXPL2_8B","D","00:49",49,1,"02:17",137,1,88,4.47733681447821,"00:59",10,2.30258509299405,""
"70",2119,"G34",15.4,53,1.45115468104168,2,"f","16-07-2020","12:20","12:30","EXPL",3,3,"C","EXPL3_3C","D","28:39",1719,0,NA,2700,0,NA,NA,"29:13",34,3.52636052461616,""
"71",2021,"G35",15.6,46,1.2116691110774,1,"m","02-07-2020","08:42","08:52","EXPL",1,1,"B","EXPL1_1B","D","11:10",670,0,NA,2700,0,NA,NA,"14:13",183,5.20948615284142,""
"72",2021,"G35",15.6,47,1.2380097439269,1,"m","09-07-2020","12:52","13:02","EXPL",2,5,"E","EXPL2_5E","D",NA,2700,0,NA,2700,0,NA,NA,NA,NA,NA,""
"73",2021,"G35",15.6,48,1.26435037677641,1,"m","16-07-2020","13:25","13:35","EXPL",3,4,"D","EXPL3_4D","D",NA,2700,0,NA,2700,0,NA,NA,NA,NA,NA,""
"74",2126,"G36",15.6,52,1.36971290817445,1,"m","02-07-2020","12:13","12:23","EXPL",1,4,"A","EXPL1_4A","D","00:19",19,1,"00:32",32,1,13,2.56494935746154,"00:58",39,3.66356164612965,""
"75",2126,"G36",15.6,52,1.36971290817445,1,"m","09-07-2020","15:00","15:10","EXPL",2,7,"A","EXPL2_7A","D","00:04",4,1,"00:10",10,1,6,1.79175946922805,"00:58",54,3.98898404656427,""
"76",2126,"G36",15.6,53,1.39605354102396,1,"m","16-07-2020","12:20","12:30","EXPL",3,3,"D","EXPL3_3D","D","00:01",1,1,"00:06",6,1,5,1.6094379124341,"00:35",34,3.52636052461616,""
"77",1313,"G38",11.7,24,1.49848933543871,2,"m","02-07-2020","14:20","14:30","EXPL",1,6,"A","EXPL1_6A","C","00:03",3,1,"00:29",29,1,26,3.25809653802148,"01:01",58,4.06044301054642,""
"78",1313,"G38",11.7,25,1.56092639108199,2,"m","09-07-2020","11:48","11:58","EXPL",2,4,"C","EXPL2_4C","C","00:01",1,1,"00:23",23,1,22,3.09104245335832,"00:55",54,3.98898404656427,""
"79",1313,"G38",11.7,25,1.56092639108199,2,"m","16-07-2020","15:33","15:43","EXPL",3,6,"A","EXPL3_6A","C","00:12",12,1,"00:25",25,1,13,2.56494935746154,"01:01",49,3.89182029811063,""
