"","FishID","PITID","TL","Weight","ConditionFactor","InfectionScore","Sex","Date","TimeLoaded","TrialType","TrialDay","TrialRound","ArenaID","UniqueID","TankID","avespeed_tot","avespeed_mob","aveacceler","propmoving","dist","frozenevents","timefrozen_tot","centrescore","centretime50","centretime75","centretime100","Notes"
"41","G30",2034,13,27,1.22894856622667,2,"m","30-06-2020","12:27","ACT","trial 1","4","B","ACT1_4B","D",37.65,50.9,131.625,0.708,47542,21,96,2.14683000983636,289.433333333333,79.9666666666667,41.6333333333333,""
"42","G30",2034,13,26,1.18343195266272,2,"m","07-07-2020","13:45","ACT","trial 2","5","H","ACT2_5H","D",32.861,40.836,147.406,0.793,43398,23,159,1.60386985251066,146.666666666667,72.8666666666667,37.3333333333333,""
"43","G21",2038,17.3,70,1.35194719989524,3,"m","30-06-2020","11:28","ACT","trial 1","3","C","ACT1_3C","D",50.466,59.453,183.974,0.824,64554,7,41,2.91569422776911,692.833333333333,235.433333333333,56.0666666666667,"tracking failed to reach >90% detection"
"45","G49",2040,13.2,35,1.52176030275204,2,"m","30-06-2020","10:27","ACT","trial 1","2","C","ACT1_2C","C",52.752,62.524,141.071,0.816,66431,11,45,2.32902039133606,319.666666666667,122.333333333333,52.8333333333333,"tracking failed to reach >90% detection"
"46","G49",2040,13.2,35,1.52176030275204,2,"m","07-07-2020","10:56","ACT","trial 2","2","F","ACT2_2F","C",47.624,58.115,158.416,0.808,60381,17,79,1.96380502518282,190.7,81.8666666666667,47.9666666666667,""
"47","G49",2040,13.2,36,1.56523916854495,2,"m","14-07-2020","12:34","ACT","trial 3","4","H","ACT3_4H","C",41.663,50.39,142.983,0.808,52358,18,122,1.60570553772779,87.8666666666667,45.1333333333333,22.1,"moderate fin infection"
"48","G51",2044,14,35,1.27551020408163,2,"m","30-06-2020","09:17","ACT","trial 1","1","F","ACT1_1F","C",25.575,55.631,76.054,0.442,32310,34,597,1.28997222222222,4.06666666666667,1.03333333333333,0.766666666666667,""
"49","G51",2044,14,35,1.27551020408163,2,"m","14-07-2020","12:34","ACT","trial 3","4","F","ACT3_4F","C",1.61,7.274,8.699,0.027,2905,2,1194,1.99588888888889,0,0,0,"moderate fin infection"
"50","G51",2044,14,35,1.27551020408163,2,"m","07-07-2020","10:56","ACT","trial 2","2","C","ACT2_2C","C",21.772,37.901,87.279,0.542,29207,36,459,1.64470340839394,48.1333333333333,4.03333333333333,0.8,""
"51","G14",2045,16.3,58,1.33926087116149,2,"m","07-07-2020","12:50","ACT","trial 2","4","B","ACT2_4B","E",36.222,46.175,144.528,0.739,48334,20,223,2.3421027178644,343.933333333333,146.866666666667,96.1,"tracking failed to reach >90% detection"
"52","G14",2045,16.3,58,1.33926087116149,2,"m","30-06-2020","14:40","ACT","trial 1","6","F","ACT1_6F","E",29.769,45.608,109.21,0.628,39078,30,327,1.67366547037047,116.066666666667,28.3,16.7333333333333,""
"53","G14",2045,16.3,59,1.36235157583669,2,"m","14-07-2020","11:36","ACT","trial 3","3","D","ACT3_3D","E",25.049,43.381,103.888,0.543,33920,8,511,1.99034316261424,112.966666666667,47.4666666666667,30.8,"moderate fin infection"
