"","Mean","SD","2.5%","5%","25%","50%","75%","95%","97.5%","text"
"p.G02.P05",0.031,0.033,0,0,0.005,0.019,0.047,0.098,0.112,"3.1% [0%, 11.2%]"
"p.G03.P05",0.031,0.036,0,0,0.004,0.017,0.049,0.108,0.129,"3.1% [0%, 12.9%]"
"p.G04.P05",0.052,0.048,0,0,0.009,0.04,0.087,0.144,0.16,"5.2% [0%, 16%]"
"p.G05.P05",0.012,0.016,0,0,0.002,0.006,0.017,0.046,0.058,"1.2% [0%, 5.8%]"
"p.G06.P05",0.061,0.059,0,0.001,0.007,0.042,0.109,0.17,0.187,"6.1% [0%, 18.7%]"
"p.G07.P05",0.014,0.02,0,0,0.001,0.006,0.019,0.057,0.071,"1.4% [0%, 7.1%]"
"p.G08.P05",0.008,0.013,0,0,0.001,0.004,0.01,0.031,0.04,"0.8% [0%, 4%]"
"p.G09.P05",0.093,0.1,0,0,0.008,0.047,0.168,0.289,0.314,"9.3% [0%, 31.4%]"
"p.G10.P05",0.172,0.065,0.004,0.04,0.137,0.177,0.214,0.266,0.282,"17.2% [0.4%, 28.2%]"
"p.G11.P05",0.081,0.091,0,0,0.007,0.039,0.14,0.272,0.305,"8.1% [0%, 30.5%]"
"p.G12.P05",0.057,0.069,0,0,0.005,0.03,0.088,0.194,0.26,"5.7% [0%, 26%]"
"p.G13.P05",0.016,0.021,0,0,0.002,0.008,0.023,0.06,0.073,"1.6% [0%, 7.3%]"
"p.G14.P05",0.072,0.072,0,0.001,0.009,0.048,0.114,0.221,0.247,"7.2% [0%, 24.7%]"
"p.G15.P05",0.036,0.053,0,0,0.003,0.014,0.045,0.145,0.216,"3.6% [0%, 21.6%]"
"p.G16.P05",0.004,0.006,0,0,0,0.002,0.005,0.017,0.023,"0.4% [0%, 2.3%]"
"p.G17.P05",0.03,0.034,0,0,0.004,0.017,0.047,0.1,0.117,"3% [0%, 11.7%]"
"p.G18.P05",0.014,0.021,0,0,0.001,0.005,0.018,0.058,0.074,"1.4% [0%, 7.4%]"
"p.G19.P05",0.058,0.068,0,0,0.005,0.023,0.103,0.199,0.222,"5.8% [0%, 22.2%]"
"p.G20.P05",0.008,0.011,0,0,0.001,0.003,0.009,0.031,0.04,"0.8% [0%, 4%]"
"p.G21.P05",0.023,0.031,0,0,0.003,0.01,0.031,0.089,0.114,"2.3% [0%, 11.4%]"
"p.G22.P05",0.027,0.032,0,0,0.003,0.013,0.041,0.096,0.114,"2.7% [0%, 11.4%]"
"p.G23.P05",0.021,0.029,0,0,0.003,0.009,0.029,0.083,0.106,"2.1% [0%, 10.6%]"
"p.G24.P05",0.095,0.1,0,0.001,0.007,0.049,0.178,0.283,0.307,"9.5% [0%, 30.7%]"
"p.G25.P05",0.056,0.06,0,0,0.006,0.03,0.096,0.178,0.195,"5.6% [0%, 19.5%]"
"p.G26.P05",0.12,0.146,0,0,0.004,0.04,0.239,0.398,0.419,"12% [0%, 41.9%]"
"p.G27.P05",0.1,0.092,0,0.001,0.014,0.078,0.164,0.276,0.31,"10% [0%, 31%]"
"p.G28.P05",0.141,0.109,0,0.001,0.029,0.142,0.235,0.317,0.336,"14.1% [0%, 33.6%]"
"p.G29.P05",0.038,0.048,0,0,0.004,0.018,0.051,0.146,0.176,"3.8% [0%, 17.6%]"
"p.G30.P05",0.011,0.017,0,0,0.001,0.004,0.013,0.048,0.062,"1.1% [0%, 6.2%]"
"p.G31.P05",0.026,0.04,0,0,0.003,0.01,0.032,0.11,0.148,"2.6% [0%, 14.8%]"
"p.G32.P05",0.081,0.084,0,0.001,0.009,0.046,0.145,0.244,0.262,"8.1% [0%, 26.2%]"
"p.G33.P05",0.019,0.023,0,0,0.003,0.009,0.027,0.067,0.082,"1.9% [0%, 8.2%]"
"p.G35.P05",0.039,0.051,0,0,0.004,0.018,0.053,0.149,0.189,"3.9% [0%, 18.9%]"
"p.G36.P05",0.083,0.08,0,0.001,0.012,0.062,0.133,0.244,0.273,"8.3% [0%, 27.3%]"
"p.G37.P05",0.019,0.027,0,0,0.001,0.007,0.025,0.076,0.096,"1.9% [0%, 9.6%]"
"p.G38.P05",0.024,0.028,0,0,0.003,0.013,0.037,0.083,0.097,"2.4% [0%, 9.7%]"
"p.G39.P05",0.017,0.025,0,0,0.001,0.007,0.022,0.072,0.091,"1.7% [0%, 9.1%]"
"p.G40.P05",0.016,0.022,0,0,0.002,0.007,0.023,0.065,0.079,"1.6% [0%, 7.9%]"
"p.G41.P05",0.016,0.02,0,0,0.002,0.008,0.022,0.058,0.071,"1.6% [0%, 7.1%]"
"p.G42.P05",0.026,0.038,0,0,0.003,0.01,0.033,0.109,0.138,"2.6% [0%, 13.8%]"
"p.G43.P05",0.037,0.039,0,0,0.005,0.023,0.061,0.118,0.135,"3.7% [0%, 13.5%]"
"p.G44.P05",0.084,0.083,0,0.001,0.009,0.052,0.151,0.24,0.261,"8.4% [0%, 26.1%]"
"p.G45.P05",0.024,0.028,0,0,0.003,0.012,0.034,0.086,0.102,"2.4% [0%, 10.2%]"
"p.G46.P05",0.196,0.108,0.001,0.004,0.113,0.211,0.28,0.354,0.376,"19.6% [0.1%, 37.6%]"
"p.G47.P05",0.15,0.07,0.002,0.011,0.108,0.153,0.197,0.257,0.281,"15% [0.2%, 28.1%]"
"p.G48.P05",0.006,0.009,0,0,0.001,0.002,0.007,0.023,0.031,"0.6% [0%, 3.1%]"
"p.G49.P05",0.024,0.028,0,0,0.003,0.012,0.035,0.084,0.101,"2.4% [0%, 10.1%]"
"p.G50.P05",0.013,0.016,0,0,0.002,0.007,0.017,0.045,0.058,"1.3% [0%, 5.8%]"
"p.G51.P05",0.051,0.054,0,0,0.006,0.029,0.088,0.158,0.177,"5.1% [0%, 17.7%]"
"p.G52.P05",0.047,0.05,0,0,0.005,0.026,0.079,0.146,0.164,"4.7% [0%, 16.4%]"
"p.G53.P05",0.159,0.115,0,0.001,0.044,0.165,0.257,0.338,0.353,"15.9% [0%, 35.3%]"
"p.G54.P05",0.031,0.041,0,0,0.002,0.012,0.049,0.118,0.14,"3.1% [0%, 14%]"
"p.G55.P05",0.04,0.044,0,0,0.005,0.022,0.064,0.131,0.145,"4% [0%, 14.5%]"
