"","mergeID","PITID","FishID","TL","InfectionScore","Sex","TrialDay","TrialRound","TankID","Weight","avespeed_tot","avespeed_mob","aveacceler","dist","timefrozen_tot.ln","propmoving.exp","centretime.lnplus1","emergelat.bin.B","endpointlat.bin.B","PC1","PC2"
"55","G26_2",2147,"G26",13,3,"f","2","6","D",31,19.80940628,53.48014832,80.4477005,25639.79883,6.34229745956308,1.38304471631782,3.75653810258775,0,0,0.52421550259915,-0.354490203399565
"56","G26_3",2147,"G26",13,3,"f","3","1","D",32,12.74363518,48.3531723,47.39408875,16848.72656,6.63725803128446,1.24817150951383,3.36384159511839,0,0,0.805032946727404,-0.170138931798141
"57","G27_1",2116,"G27",13.4,1,"m","1","3","D",28,53.27090454,69.88514709,205.3202667,71356.05469,4.47506150064107,2.11420035444053,3.22684399451738,1,1,-0.89363365111188,0.0487949168494432
"58","G27_2",2116,"G27",13.4,1,"m","2","6","D",29,36.91891098,64.75605774,146.7367096,46163.59766,5.40132511662227,1.71185763819152,3.66612246699132,1,1,-0.294300067104277,0.383849297292279
"59","G27_3",2116,"G27",13.4,1,"m","3","1","D",27,22.4446888,52.49478531,84.50549316,30368.54883,6.02996384625859,1.44802014621696,3.8286413964891,0,0,0.428901964016502,-0.394010041888046
"60","G28_1",2110,"G28",14.9,1,"m","1","4","D",43,24.91535759,59.92234802,89.60579681,31803.21875,6.17565934828362,1.50946852398547,4.2780540442909,1,1,0.126492926201527,0.628077440748426
"61","G28_2",2110,"G28",14.9,1,"m","2","5","D",44,27.6168251,62.41623688,103.3243179,34374.39063,6.24261229483179,1.51793662789916,5.14107859012155,1,1,0.0200829311373713,0.54617321236037
"62","G28_3",2110,"G28",14.9,1,"m","3","1","D",45,35.23678207,55.53258896,128.8289795,44635.66797,5.05433314936197,1.82767460286253,5.41832015894273,1,0,-0.209333173897701,-0.112132339364285
"63","G29_1",2156,"G29",16.7,1,"m","1","6","E",60,35.35190201,64.68862152,115.8107376,45533.46094,4.79413628550071,1.6750613123581,4.02177386938726,1,1,-0.257117910234921,0.390335183110782
"64","G29_2",2156,"G29",16.7,1,"m","2","3","E",61,36.35943604,56.86929703,136.3191376,47750.35547,5.26527751246984,1.85037645763067,3.36729582998647,1,1,-0.274094460211176,0.479472847600404
"65","G29_3",2156,"G29",16.7,1,"m","3","2","E",64,29.46918106,54.66563034,112.2802505,39146.83984,5.42097737928392,1.65310527822972,2.89037175789616,1,1,-0.0199587680020687,0.620074964258325
"66","G30_1",2034,"G30",13,2,"m","1","4","D",27,40.45141602,61.55904388,144.4046326,51136.94922,4.20618404397764,1.84132612290904,4.07414185490458,1,1,-0.467435444842035,0.329842088229751
"67","G30_2",2034,"G30",13,2,"m","2","5","D",26,34.27407074,47.03160477,153.2724457,45060.10156,4.85203026391962,2.02343992452489,3.65325227647079,1,1,-0.317813392974104,0.582222702108612
"68","G31_1",2089,"G31",13.7,1,"m","1","4","D",39,39.09820557,58.62684631,133.9951782,49132.30078,2.89037175789616,1.89996112417017,3.49650756146648,0,0,-0.302875504077308,-0.789573966731499
"69","G31_2",2089,"G31",13.7,1,"m","2","6","D",39,42.17656326,56.17679596,164.0066376,52801.19531,2.87356463957978,2.07386580242338,3.18221184049661,0,0,-0.442039113731088,-0.813625060217718
"70","G34_1",2119,"G34",15.4,2,"f","1","3","D",55,29.44417191,54.52335358,110.9964371,38407.92969,5.4402508624367,1.66082327795348,4.03246915850401,1,1,-0.0526000214242881,0.601367511082914
"71","G34_2",2119,"G34",15.4,2,"f","2","6","D",55,22.96009636,46.93788147,100.6687317,30272.33594,5.97913889741734,1.56140537012593,2.18605127673809,1,1,0.242348539421695,0.832561800946225
"72","G34_3",2119,"G34",15.4,2,"f","3","2","D",53,2.572062492,15.39129925,16.39823723,4663.263184,7.02784675923996,1.03522102847497,0,0,0,1.41834862524669,0.455591389901782
