"","X","PITID","FishID","TL","InfectionScore","Sex","Date","TimeLoaded","TimeInitiated","TrialType","TrialDay","TrialRound","ArenaID","TankID","emergetime","emergelat","endpointtime","endpointlat","endpointspeed","refugereturntime","refugereturnlat","Notes","UniqueID","emergelat.bin.A","emergelat.bin.B","endpointlat.bin.A","endpointlat.bin.B","endpointspeed.ln","refugereturnlat.ln","Weight"
"47",113,2228,"G24",15.5,1,"m","09-07-2020","13:56","14:06","EXPL","2","6","E","D","00:27",27,"00:37",37,10,"00:58",31,"","EXPL2_6E",1,1,1,1,2.30258509299405,3.43398720448515,48
"48",111,2228,"G24",15.5,1,"m","16-07-2020","13:25","13:35","EXPL","3","4","B","D","00:04",4,"00:41",41,37,"00:22",18,"","EXPL3_4B",1,1,1,1,3.61091791264422,2.89037175789616,51
"49",80,2122,"G25",13.7,1,"m","02-07-2020","09:58","10:08","EXPL","1","2","B","D","00:21",21,"00:43",43,22,"01:27",66,"","EXPL1_2B",1,1,1,1,3.09104245335832,4.18965474202643,29
"50",79,2122,"G25",13.7,1,"m","09-07-2020","13:56","14:06","EXPL","2","6","A","D","00:04",4,"00:16",16,12,"00:40",36,"","EXPL2_6A",1,1,1,1,2.484906649788,3.58351893845611,29
"51",78,2122,"G25",13.7,1,"m","16-07-2020","13:25","13:35","EXPL","3","4","A","D","00:17",17,"00:39",39,22,"01:09",52,"","EXPL3_4A",1,1,1,1,3.09104245335832,3.95124371858143,28
"52",87,2147,"G26",13,3,"f","02-07-2020","08:42","08:52","EXPL","1","1","A","D","00:14",14,"00:45",45,31,"08:23",489,"","EXPL1_1A",1,1,1,1,3.43398720448515,6.19236248947487,31
"53",86,2147,"G26",13,3,"f","09-07-2020","15:00","15:10","EXPL","2","7","D","D","04:06",246,"04:48",288,42,"04:10",4,"","EXPL2_7D",1,0,1,0,3.73766961828337,1.38629436111989,31
"54",88,2147,"G26",13,3,"f","16-07-2020","14:29","14:39","EXPL","3","5","B","D","02:14",134,"03:41",221,87,"02:31",17,"","EXPL3_5B",1,0,1,0,4.46590811865458,2.83321334405622,32
"55",74,2116,"G27",13.4,1,"m","02-07-2020","08:42","08:52","EXPL","1","1","C","D","00:08",8,"00:24",24,16,"03:27",199,"","EXPL1_1C",1,1,1,1,2.77258872223978,5.29330482472449,28
"56",72,2116,"G27",13.4,1,"m","09-07-2020","15:00","15:10","EXPL","2","7","E","D","00:24",24,"00:40",40,16,"01:01",37,"","EXPL2_7E",1,1,1,1,2.77258872223978,3.61091791264422,29
