"","Mean","SD","2.5%","5%","25%","50%","75%","95%","97.5%","text"
"p.G51.P03",0.146,0.165,0,0,0.004,0.079,0.256,0.462,0.519,"14.6% [0%, 51.9%]"
"p.G52.P03",0.12,0.155,0,0,0.002,0.04,0.205,0.426,0.502,"12% [0%, 50.2%]"
"p.G53.P03",0.303,0.284,0,0,0.019,0.243,0.528,0.813,0.884,"30.3% [0%, 88.4%]"
"p.G54.P03",0.04,0.073,0,0,0.001,0.007,0.045,0.202,0.277,"4% [0%, 27.7%]"
"p.G55.P03",0.099,0.143,0,0,0.001,0.026,0.157,0.393,0.488,"9.9% [0%, 48.8%]"
"p.G01.P04",0.013,0.024,0,0,0.001,0.003,0.014,0.06,0.083,"1.3% [0%, 8.3%]"
"p.G02.P04",0.065,0.086,0,0,0.003,0.024,0.102,0.25,0.291,"6.5% [0%, 29.1%]"
"p.G03.P04",0.076,0.108,0,0,0.003,0.022,0.107,0.325,0.374,"7.6% [0%, 37.4%]"
"p.G04.P04",0.038,0.061,0,0,0.002,0.01,0.049,0.173,0.221,"3.8% [0%, 22.1%]"
"p.G05.P04",0.739,0.233,0.004,0.069,0.665,0.79,0.903,0.984,0.993,"73.9% [0.4%, 99.3%]"
"p.G06.P04",0.014,0.024,0,0,0.001,0.004,0.015,0.063,0.087,"1.4% [0%, 8.7%]"
"p.G07.P04",0.023,0.041,0,0,0.001,0.005,0.024,0.111,0.151,"2.3% [0%, 15.1%]"
"p.G08.P04",0.135,0.147,0,0,0.005,0.072,0.248,0.412,0.465,"13.5% [0%, 46.5%]"
"p.G09.P04",0.041,0.078,0,0,0.002,0.01,0.043,0.196,0.292,"4.1% [0%, 29.2%]"
"p.G10.P04",0.025,0.045,0,0,0.001,0.007,0.028,0.109,0.152,"2.5% [0%, 15.2%]"
"p.G11.P04",0.041,0.086,0,0,0.001,0.009,0.04,0.183,0.319,"4.1% [0%, 31.9%]"
"p.G12.P04",0.023,0.056,0,0,0.001,0.006,0.022,0.096,0.132,"2.3% [0%, 13.2%]"
"p.G13.P04",0.064,0.092,0,0,0.002,0.019,0.089,0.275,0.321,"6.4% [0%, 32.1%]"
"p.G14.P04",0.09,0.133,0,0,0.005,0.03,0.125,0.392,0.495,"9% [0%, 49.5%]"
