"","FishID","PITID","Treatment","Sex","TL","SL","Weight","ConditionFactor","InfectionScore","Date","TimeLoaded","TrialType","TrialDay","TrialRound","ArenaID","UniqueID","TankID","TankID.combo","avespeed_tot","avespeed_mob","propmoving","dist","timefrozen_tot","centretime50","centretime75","centretime100","centrescore","Notes"
"106","K39",NA,"Control","F",14.3,12.2,49,1.67566796741818,2,"10-11-2020","16:00","ACT","Day 0",5,"G","ACT4_5G","E_3","E",12.53,54.66,0.21,15663,963,10.1333333333333,3.26666666666667,0.633333333333333,1.63713888888889,""
"107","K39",NA,"Control","F",14.3,12.2,49,1.67566796741818,2,"20-11-2020","12:20","ACT","Day 10",2,"E","ACT6_2E","E_3","E",9.01,43.77,0.17,11413,1040,269.433333333333,246.833333333333,13.1333333333333,2.28830555555556,""
"108","K40",NA,"Control","M",13.7,11.6,41,1.59449130477223,2,"20-11-2020","12:20","ACT","Day 10",2,"D","ACT6_2D","E_3","E",2.36,7.05,0.11,3493,1200,0,0,0,2,""
"109","K40",NA,"Control","M",13.7,11.6,41,1.59449130477223,2,"10-11-2020","16:00","ACT","Day 0",5,"H","ACT4_5H","E_3","E",7.24,43.7,0.15,9101,1038,126.7,66.1333333333333,18.5666666666667,1.50819444444444,""
"110","K40",NA,"Control","M",13.7,11.6,41,1.59449130477223,2,"12-11-2020","11:55","ACT","Day 2",3,"B","ACT5_3B","E_3","E",4.42,33.61,0.1,5753,1102,166.033333333333,10.2333333333333,3,1.45872222222222,""
"111","K41","1308","PITtagged","M",16.6,14.2,64,1.3991224004743,1,"10-11-2020","17:10","ACT","Day 0",6,"A","ACT4_6A","E_3","E",27.28,49.66,0.53,33607,507,351,140.566666666667,78.4,2.39719444444444,""
"112","K41","1308","PITtagged","M",16.6,14.2,64,1.3991224004743,1,"12-11-2020","10:45","ACT","Day 2",2,"E","ACT5_2E","E_3","E",2.54,20.84,0.06,3435,1165,31.8,28.8,17.9,2.06102777777778,""
"113","K42","1272","PIT+clip","F",14.5,12.4,53,1.73848866292181,3,"10-11-2020","17:10","ACT","Day 0",6,"B","ACT4_6B","E_3","E",30.34,53.09,0.56,37723,390,317.6,208.333333333333,109.3,2.31185911725368,""
"114","K42","1272","PIT+clip","F",14.5,12.4,53,1.73848866292181,3,"12-11-2020","10:45","ACT","Day 2",2,"G","ACT5_2G","E_3","E",22.92,50.43,0.44,28199,591,525.933333333333,332.033333333333,139.733333333333,2.73910263538308,""
"115","K42","1272","PIT+clip","F",14.5,12.4,53,1.73848866292181,3,"20-11-2020","12:20","ACT","Day 10",2,"C","ACT6_2C","E_3","E",2.46,7.21,0.1,3554,1198,0,0,0,1.99847222222222,""
"116","K43","1285","PITtagged","M",14.5,12.3,51,1.67288531715117,2,"12-11-2020","11:55","ACT","Day 2",3,"H","ACT5_3H","E_4","E",14.18,38.31,0.35,18089,842,141.966666666667,53.8,31.0666666666667,1.91625,""
"117","K43","1285","PITtagged","M",14.5,12.3,51,1.67288531715117,2,"20-11-2020","12:20","ACT","Day 10",2,"H","ACT6_2H","E_4","E",8.66,31.89,0.23,11245,1011,353.633333333333,171.3,42.7,2.45772222222222,""
"118","K43","1285","PITtagged","M",14.5,12.3,51,1.67288531715117,2,"10-11-2020","17:10","ACT","Day 0",6,"C","ACT4_6C","E_4","E",25.28,43.36,0.56,31845,454,488.3,277.833333333333,177.3,2.68733483546135,""
"119","K44","1298","PIT+clip","M",15.4,13,60,1.64281662004718,2,"20-11-2020","12:20","ACT","Day 10",2,"G","ACT6_2G","E_4","E",1.89,9.13,0.06,2726,1197,0,0,0,1.55644444444444,""
"120","K44","1298","PIT+clip","M",15.4,13,60,1.64281662004718,2,"12-11-2020","11:55","ACT","Day 2",3,"D","ACT5_3D","E_4","E",14.49,47.44,0.28,18226,888,538.766666666667,206.9,109.966666666667,2.58220350877193,""
"121","K44","1298","PIT+clip","M",15.4,13,60,1.64281662004718,2,"10-11-2020","17:10","ACT","Day 0",6,"D","ACT4_6D","E_4","E",40.83,59.2,0.68,51363,269,277.366666666667,42.5333333333333,23.7666666666667,2.15361111111111,""
"122","K45",NA,"Control","M",14.4,12.4,45,1.50704089506173,2,"12-11-2020","11:55","ACT","Day 2",3,"F","ACT5_3F","E_4","E",3.58,39.05,0.07,4627,1155,189.266666666667,96.8333333333333,85.8333333333333,2.30711111111111,"v small wound"
"123","K45",NA,"Control","M",14.4,12.4,45,1.50704089506173,2,"10-11-2020","17:10","ACT","Day 0",6,"E","ACT4_6E","E_4","E",14.07,60.43,0.22,17312,946,453.7,116.8,72.2,2.52402777777778,"v small wound"
"124","K46","1408","PITtagged","M",12.5,10.5,27,1.3824,3,"12-11-2020","11:55","ACT","Day 2",3,"C","ACT5_3C","E_4","E",2.6,51.09,0.03,3444,1162,15.6,6,3.26666666666667,1.05377777777778,""
"125","K46","1408","PITtagged","M",12.5,10.5,27,1.3824,3,"20-11-2020","13:18","ACT","Day 10",3,"A","ACT6_3A","E_4","E",1.87,11.39,0.05,2698,1197,0,0,0,1,""
"126","K46","1408","PITtagged","M",12.5,10.5,27,1.3824,3,"10-11-2020","17:10","ACT","Day 0",6,"F","ACT4_6F","E_4","E",15.9,66.11,0.23,19622,945,684.2,380.233333333333,268.666666666667,2.89161111111111,""
"127","K47","1292","PIT+clip","F",13.6,11.6,44,1.74918583350295,2,"12-11-2020","11:55","ACT","Day 2",3,"E","ACT5_3E","E_4","E",7.04,43.72,0.14,8822,1036,73.4333333333333,34.3333333333333,14.9666666666667,1.35575,"minor scale damage"
"128","K47","1292","PIT+clip","F",13.6,11.6,44,1.74918583350295,2,"10-11-2020","17:10","ACT","Day 0",6,"G","ACT4_6G","E_4","E",6.98,55.81,0.11,8739,1084,23.5666666666667,0,0,1.22419444444444,"minor scale damage"
"129","K47","1292","PIT+clip","F",13.6,11.6,44,1.74918583350295,2,"20-11-2020","12:20","ACT","Day 10",2,"F","ACT6_2F","E_4","E",1.83,5.92,0.03,2587,1200,0,0,0,2,"minor scale damage"
"130","K48",NA,"Control","M",16,13.9,77,1.8798828125,1,"12-11-2020","11:55","ACT","Day 2",3,"G","ACT5_3G","E_4","E",24.24,46.78,0.5,30213,582,542.566666666667,205.266666666667,60.3,2.6247774315602,""
"131","K48",NA,"Control","M",16,13.9,77,1.8798828125,1,"10-11-2020","17:10","ACT","Day 0",6,"H","ACT4_6H","E_4","E",25.32,50.8,0.48,32021,555,657.466666666667,175.4,83.4,2.7435,""
