"","FishID","TL","ConditionFactor","CondManual","Sex","TankID","avespeed_mob","dist","timefrozen_tot","centrescore","centrescore2","centretime50","centretime75","centretime100","emergelat","emergelat.bin","endpointlat","endpointlat.bin","dist_M","timefrozen_tot_M","log.timefrozen_tot_M","avespeed_mob_M","centrescore_M","centrescore2_M","centretime50_M","centretime75_M","centretime100_M","emergelat_M","emergelat.bin_M","endpointlat_M","endpointlat.bin_M"
"34","G44",10.5,1.20937263794407,1.47415882763288,"m","C",47.342,36218,318,1.81880555555556,3.353,197.733333333333,77.5,37.0666666666667,115,0,2700,0,27720.6666666667,563.666666666667,6.27442933744129,43.1426666666667,2.01411408321904,3.87728008164658,263.766666666667,99.6999999999999,60.6444444444445,103,0,1853.33333333333,0.333333333333333
"35","G45",11,1.35236664162284,1.65493032369897,"f","C",44.991,32740,456,1.84085303495157,3.37154093725561,135.3,29.3,11.8666666666667,2700,0,2700,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","G46",16.3,1.08526311973431,1.37278094098193,"m","C",55.023,54420,222,2.54767807473697,5.26298524609989,433.833333333333,161.933333333333,87.4666666666667,297,0,2700,0,47373.6666666667,235,5.45413050219336,48.882,2.45392855698469,4.98134205785993,378.311111111111,135.077777777778,59.7,1899,0,2700,0
"37","G48",9.8,1.16873071594319,1.4163666546188,"f","C",36.981,8170,1097,1.28025,1.95515625,14.1666666666667,5.2,3,2700,0,2700,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","G49",13.2,1.47828143695912,1.83700123565105,"m","C",62.524,66431,45,2.32902039133606,4.66365593188089,319.666666666667,122.333333333333,52.8333333333333,1,1,54,1,59723.3333333333,82,4.32671046232353,57.0096666666667,1.96617698474889,3.73234228083331,199.411111111111,83.111111111111,40.9666666666667,4.33333333333333,1,37.6666666666667,1
"39","G51",14,1.23906705539359,1.54738645377751,"m","C",55.631,32310,597,1.28997222222222,1.97608854166667,4.06666666666667,1.03333333333333,0.766666666666667,2700,0,2700,0,21474,750,6.53534387246857,33.602,1.64352150650168,2.85961325530138,17.4,1.68888888888889,0.522222222222222,2700,0,2700,0
"40","G52",12.5,1.3312,1.64665695202698,"m","C",71.965,64741,51,2.02377777777778,3.929421875,238.833333333333,123,79.4333333333333,158,0,1130,0,57324.3333333333,82,4.28197132718855,60.8663333333333,2.05351236073093,4.0104380913082,248.322222222222,132.288888888889,82.6222222222222,55,0.666666666666667,396.333333333333,0.666666666666667
"41","G53",14.3,1.33369491284304,1.66853679775279,"m","C",59.202,66134,34,1.93837123991196,3.63868587392065,146,58.4666666666667,27.8666666666667,166,0,249,0,53405.3333333333,165.666666666667,4.79144582112837,52.0966666666667,1.90858954415186,3.57218220984961,168,65.3777777777778,33.1888888888889,69,0.666666666666667,988.666666666667,0.333333333333333
"42","G54",9.5,1.28298585799679,1.55076573637525,"m","C",56.68,40585,477,2.09502777777778,4.0373125,249.7,78.7,32.9333333333333,72,0,85,1,36306.3333333333,454,6.11466174438664,49.5053333333333,2.46825786036414,5.11504638229876,421.822222222222,224.777777777778,123.744444444444,49.6666666666667,0.666666666666667,95.6666666666667,1
"43","G55",11.3,1.52471035701093,1.87006436806084,"m","C",67.07,47894,226,1.96791666666667,3.72441840277778,205.933333333333,95.7,36.1666666666667,360,0,2700,0,38044.3333333333,258.333333333333,5.54483839983734,51.1463333333333,2.0662299367748,4.02095147272119,252.688888888889,130.988888888889,68.9111111111111,229.333333333333,0,2700,0
