"FishID","PITID","TL","ConditionFactor","CondManual","Sex","Date","TimeLoaded","TimeInitiated","TrialType","TrialDay","TrialRound","ArenaID","UniqueID","TankID","emergelat","emergelat.bin","endpointlat","endpointlat.bin","endpointspeed","refugereturnlat"
"G55",2065,11.3,1.52471035701093,1.87006436806084,"m","09-07-2020","12:52","13:02","EXPL",2,5,"A","EXPL2_5A","C",55,0,2700,0,NA,7
"G55",2065,11.3,1.52471035701093,1.87006436806084,"m","02-07-2020","15:23","15:33","EXPL",1,7,"B","EXPL1_7B","C",360,0,2700,0,NA,33
"G55",2065,11.3,1.52471035701093,1.87006436806084,"m","16-07-2020","16:40","16:50","EXPL",3,7,"E","EXPL3_7E","C",273,0,2700,0,NA,19
"G45",2070,11,1.35236664162284,1.65493032369897,"f","02-07-2020","14:20","14:30","EXPL",1,6,"C","EXPL1_6C","C",2700,0,2700,0,NA,NA
"G48",2084,9.8,1.16873071594319,1.4163666546188,"f","02-07-2020","13:15","13:25","EXPL",1,5,"B","EXPL1_5B","C",2700,0,2700,0,NA,NA
"G31",2089,13.7,1.43893117747738,1.79370861638488,"m","02-07-2020","08:42","08:52","EXPL",1,1,"D","EXPL1_1D","D",2700,0,2700,0,NA,NA
"G31",2089,13.7,1.43893117747738,1.79370861638488,"m","09-07-2020","15:00","15:10","EXPL",2,7,"C","EXPL2_7C","D",2700,0,2700,0,NA,NA
"G12",2099,13.4,1.24682889850148,1.55134747673848,"m","09-07-2020","08:34","08:44","EXPL",2,1,"A","EXPL2_1A","E",2700,0,2700,0,NA,NA
"G12",2099,13.4,1.24682889850148,1.55134747673848,"m","16-07-2020","11:15","11:25","EXPL",3,2,"B","EXPL3_2B","E",2700,0,2700,0,NA,NA
"G12",2099,13.4,1.24682889850148,1.55134747673848,"m","02-07-2020","18:30","18:40","EXPL",1,10,"D","EXPL1_10D","E",1971,0,2700,0,NA,20
"G40",2101,12.8,1.28746032714844,1.59573560233655,"m","09-07-2020","11:48","11:58","EXPL",2,4,"E","EXPL2_4E","C",2700,0,2700,0,NA,NA
"G39",2112,12.9,1.49066772131408,1.84881093443466,"m","09-07-2020","10:43","10:53","EXPL",2,3,"E","EXPL2_3E","C",154,0,178,0,24,36
"G27",2116,13.4,1.12214600865133,1.39621272906463,"m","16-07-2020","13:25","13:35","EXPL",3,4,"E","EXPL3_4E","D",2700,0,2700,0,NA,NA
"G34",2119,15.4,1.47853495804246,1.86131913475484,"f","16-07-2020","12:20","12:30","EXPL",3,3,"C","EXPL3_3C","D",1719,0,2700,0,NA,34
"G41",2133,14.2,1.04774650681315,1.31002293834729,"m","02-07-2020","12:13","12:23","EXPL",1,4,"E","EXPL1_4E","C",2700,0,2700,0,NA,NA
"G26",2147,13,1.41101502048248,1.75115934944658,"f","09-07-2020","15:00","15:10","EXPL",2,7,"D","EXPL2_7D","D",246,0,288,0,42,4
"G26",2147,13,1.41101502048248,1.75115934944658,"f","16-07-2020","14:29","14:39","EXPL",3,5,"B","EXPL3_5B","D",134,0,221,0,87,17
"G20",2213,13.8,1.14152123686109,1.42384204961131,"m","02-07-2020","12:13","12:23","EXPL",1,4,"B","EXPL1_4B","D",2700,0,2700,0,NA,NA
"G07",2220,14.3,1.16270838555547,1.45462182368192,"m","02-07-2020","16:25","16:35","EXPL",1,8,"A","EXPL1_8A","E",85,0,229,0,144,161
"G11",2233,13.5,1.46319158664838,1.82169345750521,"m","16-07-2020","11:15","11:25","EXPL",3,2,"E","EXPL3_2E","E",346,0,2700,0,NA,95
"G11",2233,13.5,1.46319158664838,1.82169345750521,"m","09-07-2020","09:38","09:48","EXPL",2,2,"D","EXPL2_2D","E",2700,0,2700,0,NA,NA
"G11",2233,13.5,1.46319158664838,1.82169345750521,"m","02-07-2020","17:27","17:37","EXPL",1,9,"B","EXPL1_9B","E",237,0,2700,0,NA,75
