Date,TimeLoaded,TimeInitiated,TrialType,TrialDay,TrialRound,ArenaID,TankID,PITID,emergetime,emergelat,endpointtime,endpointlat,endpointspeed,refugereturntime,refugereturnlat,Notes
16-07-2020,15:33,15:43,EXPL,3,6,A,C,1313,00:12,12,00:25,25,13,01:01,49,
16-07-2020,15:33,15:43,EXPL,3,6,B,C,2024,NA,2700,NA,2700,NA,NA,NA,
16-07-2020,15:33,15:43,EXPL,3,6,C,C,2044/1395,NA,2700,NA,2700,NA,NA,NA,"D jumped into C, think D is 1395, check if analysable"
16-07-2020,15:33,15:43,EXPL,3,6,D,C,2044/1395,00:31,31,00:59,59,28,00:47,16,"D jumped into C, think D is 1395, check if analysable"
16-07-2020,15:33,15:43,EXPL,3,6,E,C,1384,00:06,6,00:42,42,36,00:24,18,
16-07-2020,16:40,16:50,EXPL,3,7,A,C,2044,NA,2700,NA,2700,NA,NA,NA,
16-07-2020,16:40,16:50,EXPL,3,7,B,C,1395,00:39,39,NA,2700,NA,00:49,10,
16-07-2020,16:40,16:50,EXPL,3,7,C,C,1260,00:31,31,02:17,137,106,00:44,13,
16-07-2020,16:40,16:50,EXPL,3,7,D,C,2040,00:01,1,00:28,28,27,03:40,219,
16-07-2020,16:40,16:50,EXPL,3,7,E,C,2065,04:33,273,NA,2700,NA,04:52,19,
