"FishID","PITID","TL","ConditionFactor","CondManual","Sex","Date","TimeLoaded","TrialType","TrialDay","TrialRound","ArenaID","UniqueID","TankID","avespeed_tot","avespeed_mob","aveacceler","propmoving","dist","frozenevents","timefrozen_tot","centrescore","centrescore2","centretime50","centretime75","centretime100"
"G39",2112,12.9,1.49066772131408,1.84881093443466,"m","30/06/2020","09:17","ACT",1,1,"D","ACT1_1D","C",45.09,56.531,153.373,0.784,57730,11,47,2.06694978053925,3.96324744912501,261.933333333333,77.8333333333333,29.6
"G39",2112,12.9,1.49066772131408,1.84881093443466,"m","14/07/2020","13:26","ACT",3,5,"B","ACT3_5B","C",20.723,41.657,71.303,0.47,26527,80,617,2.37692692971228,4.75056868774,348.233333333333,113.9,38.5
"G27",2116,13.4,1.12214600865133,1.39621272906463,"m","14/07/2020","09:42","ACT",3,1,"G","ACT3_1G","D",21.535,40.174,79.997,0.492,29157,63,511,1.95297151632813,3.68573606965895,116.5,58.4666666666667,33.8333333333333
"G27",2116,13.4,1.12214600865133,1.39621272906463,"m","07/07/2020","14:50","ACT",2,6,"F","ACT2_6F","D",33.979,51.514,130.951,0.634,42358,39,244,1.80330179182605,3.289949380195,126.7,41.8666666666667,20.2666666666667
"G27",2116,13.4,1.12214600865133,1.39621272906463,"m","30/06/2020","11:28","ACT",1,3,"D","ACT1_3D","D",50.683,59.802,190.227,0.842,68459,16,75,1.70990572635466,3.04697247321454,119.733333333333,32.6666666666667,14.6
"G34",2119,15.4,1.47853495804246,1.86131913475484,"f","07/07/2020","14:50","ACT",2,6,"H","ACT2_6H","D",21.942,36.156,95.85,0.58,29075,42,455,1.6351223053725,2.8465109460516,76.9666666666667,12.9333333333333,5.73333333333333
"G34",2119,15.4,1.47853495804246,1.86131913475484,"f","14/07/2020","10:40","ACT",3,2,"C","ACT3_2C","D",2.454,9.645,15.77,0.096,4451,19,1180,1.58633333333333,2.71583333333333,0,0,0
"G34",2119,15.4,1.47853495804246,1.86131913475484,"f","30/06/2020","11:28","ACT",1,3,"H","ACT1_3H","D",28.053,43.709,104.991,0.622,36700,49,338,2.03599587663333,3.9012429303764,202,91.3333333333333,40.4333333333333
"G25",2122,13.7,1.12781092288768,1.40587972635571,"m","30/06/2020","13:34","ACT",1,5,"A","ACT1_5A","D",25.941,36.637,116.255,0.686,34641,29,173,1.81196271072904,3.28789982695099,118.4,24.0333333333333,5.26666666666667
"G25",2122,13.7,1.12781092288768,1.40587972635571,"m","07/07/2020","14:50","ACT",2,6,"D","ACT2_6D","D",31.318,40.989,142.852,0.746,41122,28,148,1.78910713778106,3.26125493902612,137.6,51.2666666666667,24.9
"G25",2122,13.7,1.12781092288768,1.40587972635571,"m","14/07/2020","09:42","ACT",3,1,"A","ACT3_1A","D",26.748,41.106,113.167,0.625,35417,50,348,1.75679647318148,3.14603762787543,64.6333333333333,5,2.63333333333333
"G36",2126,15.6,1.29069100962592,1.62660976867651,"m","07/07/2020","13:45","ACT",2,5,"E","ACT2_5E","D",25.834,37.185,99.933,0.676,33137,39,306,2.1709892191548,4.21175690169095,245.4,39.7666666666667,22.6333333333333
"G36",2126,15.6,1.29069100962592,1.62660976867651,"m","30/06/2020","12:27","ACT",1,4,"H","ACT1_4H","D",43.301,49.732,166.225,0.863,56389,7,37,2.0852371110987,3.98374574093727,244.366666666667,58.7333333333333,13.6
"G36",2126,15.6,1.29069100962592,1.62660976867651,"m","14/07/2020","09:42","ACT",3,1,"E","ACT3_1E","D",32.87,41.891,119.573,0.769,42066,31,165,2.25929263347601,4.43788895302996,346.833333333333,68.6333333333333,25.9
"G41",2133,14.2,1.04774650681315,1.31002293834729,"m","07/07/2020","09:52","ACT",2,1,"E","ACT2_1E","C",20.303,36.141,83.93,0.536,26514,55,428,2.42791666666667,5.00431423611111,410.333333333333,182.666666666667,122.166666666667
"G41",2133,14.2,1.04774650681315,1.31002293834729,"m","30/06/2020","10:27","ACT",1,2,"H","ACT1_2H","C",11.277,38.916,43.268,0.259,14882,37,871,1.28822222222222,1.97861111111111,66.4666666666667,21.5,5.33333333333333
"G26",2147,13,1.41101502048248,1.75115934944658,"f","14/07/2020","09:42","ACT",3,1,"F","ACT3_1F","D",12.021,36.039,44.241,0.3,15804,45,841,1.76139999443563,3.17624259243803,135.933333333333,35.5666666666667,15.0333333333333
"G26",2147,13,1.41101502048248,1.75115934944658,"f","07/07/2020","14:50","ACT",2,6,"B","ACT2_6B","D",18.575,39.888,73.004,0.423,23924,52,648,2.00484518348624,3.79204415137615,193.766666666667,52.7333333333333,19.2
"G26",2147,13,1.41101502048248,1.75115934944658,"f","30/06/2020","12:27","ACT",1,4,"A","ACT1_4A","D",34.738,46.434,120.822,0.734,43800,27,156,1.81156533206139,3.32793692657333,154.7,72.6,32.1333333333333
"G06",2153,13.2,1.30436597378746,1.62088344322151,"m","07/07/2020","11:51","ACT",2,3,"C","ACT2_3C","E",49.236,61.498,155.778,0.769,61949,26,125,1.96460895075214,3.72979799950066,163.033333333333,69.7666666666667,40.2333333333333
"G06",2153,13.2,1.30436597378746,1.62088344322151,"m","30/06/2020","14:40","ACT",1,6,"D","ACT1_6D","E",59.285,68.989,196.33,0.852,75153,8,35,1.93843852320199,3.67196673535057,183.9,93.1,49.4333333333333
"G06",2153,13.2,1.30436597378746,1.62088344322151,"m","14/07/2020","11:36","ACT",3,3,"C","ACT3_3C","E",39.582,55.085,138.474,0.718,50751,42,233,2.12410271812584,4.16303499023877,242.933333333333,93.6666666666667,62.9333333333333
"G29",2156,16.7,1.22384225059866,1.55123705051879,"m","07/07/2020","11:51","ACT",2,3,"D","ACT2_3D","E",35.524,48.084,133.678,0.722,46683,34,251,2.3253751308596,4.60022755030825,386.166666666667,93.8333333333333,23.2666666666667
"G29",2156,16.7,1.22384225059866,1.55123705051879,"m","14/07/2020","10:40","ACT",3,2,"D","ACT3_2D","E",28.992,42.282,108.172,0.66,38749,33,330,2.19829103503094,4.2682127547834,366.633333333333,65.2,14.5666666666667
"G29",2156,16.7,1.22384225059866,1.55123705051879,"m","30/06/2020","14:40","ACT",1,6,"B","ACT1_6B","E",33.766,50.482,110.283,0.651,43480,39,243,2.40931050853137,4.82738452623642,410.766666666667,97.2666666666667,35.6333333333333
