"","Date","TimeLoaded","TrialType","TrialDay","TrialRound","ArenaID","TankID","PITID","FishID","Treatment","TL","SL","Sex","Weight","avespeed_tot","avespeed_mob","aveacceler","propmoving","dist","timefrozen_tot","timefrozen_ave","centretime","Notes","UniqueID","avespeed_tot.sqrt","aveacceler.sqrt","dist.sqrt","centretime.lnplus1"
"41","10-11-2020","17:10","ACT",4,6,"A","E_3",1308,"K41","pit",16.6,14.2,"M",64,28.5008049,61.13533783,71.28090668,0.44104901,35133.46875,400.8,5.8,104.3,"","ACT4_6A",5.33861451127537,8.44280206329628,187.43924015531,4.65681341913993
"42","10-11-2020","17:10","ACT",4,6,"B","E_3",1272,"K42","clip",14.5,12.4,"F",53,32.09945679,62.76544571,96.41073608,0.490302622,39998.79297,332.9,15.9,136.2,"","ACT4_6B",5.6656382508946,9.81889688712536,199.996982402235,4.92143971529178
"43","10-11-2020","17:10","ACT",4,6,"C","E_4",1285,"K43","pit",14.5,12.3,"M",51,27.13282776,53.93543625,90.08506775,0.473389745,34327.70313,314.3,7.7,226.6,"","ACT4_6C",5.2089180987994,9.49131538565651,185.27736809983,5.42758970225218
"44","10-11-2020","17:10","ACT",4,6,"D","E_4",1298,"K44","clip",15.4,13,"M",60,42.52789307,72.03708649,118.402153,0.569723129,53094.55078,214,8.2,32,"v small wound","ACT4_6D",6.52134135512013,10.8812753388562,230.422548332406,3.49650756146648
"45","10-11-2020","17:10","ACT",4,6,"E","E_4",NA,"K45","cont",14.4,12.4,"M",45,14.69188786,78.52242279,41.67158508,0.170130014,18080.14453,930.6,16.9,97.3,"","ACT4_6E",3.83299985129141,6.45535321109542,134.462427949223,4.58802402715312
"46","10-11-2020","17:10","ACT",4,6,"F","E_4",1408,"K46","pit",12.5,10.5,"M",27,16.7717514,79.2672348,47.54542923,0.196419135,20682.14453,927.4,26.5,285.7,"minor scale damage","ACT4_6F",4.09533288024307,6.89531937113866,143.812880264599,5.65843637288932
"47","10-11-2020","17:10","ACT",4,6,"G","E_4",1292,"K47","clip",13.6,11.6,"F",44,7.764359951,66.80710602,27.91992378,0.095066115,9867.566406,1057,44,0,"","ACT4_6G",2.7864601111446,5.28393071302037,99.3356250596935,0
"48","10-11-2020","17:10","ACT",4,6,"H","E_4",NA,"K48","cont",16,13.9,"M",77,25.5951519,64.38858032,72.25363159,0.371430159,31931.81445,530.7,10.2,96.2,"","ACT4_6H",5.05916513863701,8.50021362025685,178.694752161332,4.57677071146639
"49","12-11-2020","09:35","ACT",5,1,"A","E_1",1496,"K29","clip",13.5,11.8,"F",47,41.51541138,69.05775452,122.1043854,0.58192575,51139.10547,213.1,7.6,44.8,"","ACT5_1A",6.44324540740146,11.0500853118879,226.139570774334,3.82428409112014
"50","12-11-2020","09:35","ACT",5,1,"B","E_1",1381,"K25","pit",11.9,9.9,"M",28,28.74003792,54.58456802,95.41475677,0.498775661,36306.03906,220.4,6.3,222.5,"","ACT5_1B",5.36097359814428,9.76804774609543,190.541436595823,5.40941141405362
"51","12-11-2020","09:35","ACT",5,1,"C","E_1",1263,"K27","pit",15.4,13.5,"M",61,1.721141934,75.00669098,9.803578377,0.011834648,2329.754639,1174.1,293.5,1.4,"","ACT5_1C",1.31192299088018,3.13106665163806,48.267531934003,0.8754687373539
"52","12-11-2020","09:35","ACT",5,1,"D","E_1",NA,"K30","cont",14.3,11.9,"F",48,6.854269505,66.0007782,27.34911156,0.084731638,8685.834961,1054.8,39.1,49.7,"","ACT5_1D",2.61806598560846,5.22963780390191,93.1978270186596,3.92592591059714
"53","12-11-2020","09:35","ACT",5,1,"E","E_1",1321,"K28","clip",14.5,12.2,"F",58,12.10330677,45.41558838,42.42007828,0.236581847,15178.17871,740.2,11.2,210.7,"","ACT5_1E",3.47898070848345,6.5130698046313,123.199751257866,5.35517017814082
"54","12-11-2020","09:35","ACT",5,1,"F","E_1",NA,"K26","cont",12.2,10.5,"F",23,1.668498755,17.71357918,13.90323734,0.025780642,2486.486572,1192.1,132.5,0,"fin damage, sig scale loss, euthanised post trial","ACT5_1F",1.29170381860549,3.72870451229378,49.8646826120452,0
"55","12-11-2020","09:35","ACT",5,1,"G","E_2",NA,"K33","cont",15,12.9,"M",62,5.679639816,52.68157959,27.54846764,0.083027065,7345.467773,1091.2,109.1,954.3,"","ACT5_1G",2.38319949144003,5.24866341462281,85.7057044367526,6.86202542727596
"56","12-11-2020","09:35","ACT",5,1,"H","E_2",1442,"K35","clip",14.7,12.5,"F",54,33.15751648,89.23445892,90.32131958,0.35723415,40449.94531,639.8,9.4,29.2,"","ACT5_1H",5.75825637498019,9.50375292082028,201.121717648791,3.40784192438082
