,PITID,FishID,TL,InfectionScore,Sex,Date,TimeLoaded,TrialType,TrialDay,TrialRound,ArenaID,TankID,Weight,avespeed_tot,avespeed_mob,aveacceler,propmoving,dist,timefrozen_tot,timefrozen_ave,centretime,Notes,UniqueID
76,2116,G27,13.4,1,m,07-07-2020,14:50,ACT,2,6,F,D,29,36.91891098,64.75605774,146.7367096,0.537579119,46163.59766,221.7,6,38.1,,ACT2_6F
77,2119,G34,15.4,2,f,07-07-2020,14:50,ACT,2,6,H,D,55,22.96009636,46.93788147,100.6687317,0.445586294,30272.33594,395.1,10.4,7.9,,ACT2_6H
78,2119,G34,15.4,2,f,14-07-2020,10:40,ACT,3,2,C,D,53,2.572062492,15.39129925,16.39823723,0.034614958,4663.263184,1127.6,35.2,0,moderate fin infection,ACT3_2C
79,2119,G34,15.4,2,f,30-06-2020,11:28,ACT,1,3,H,D,55,29.44417191,54.52335358,110.9964371,0.50731343,38407.92969,230.5,7,55.4,,ACT1_3H
80,2122,G25,13.7,1,m,30-06-2020,13:34,ACT,1,5,A,D,29,27.28488731,46.17334747,122.3486099,0.550582767,36484.07422,94.7,5.9,10.9,,ACT1_5A
81,2122,G25,13.7,1,m,14-07-2020,09:42,ACT,3,1,A,D,28,27.40758324,48.52625656,118.018959,0.529388726,36171.94141,282.5,6.6,2.9,,ACT3_1A
82,2122,G25,13.7,1,m,07-07-2020,14:50,ACT,2,6,D,D,29,32.20535278,48.32897568,147.3959351,0.630643666,42278.37109,99.8,5.5,35.2,,ACT2_6D
83,2126,G36,15.6,1,m,07-07-2020,13:45,ACT,2,5,E,D,52,27.21306419,45.6930542,104.623848,0.560310185,34807.34766,243.1,7.6,25.8,,ACT2_5E
84,2126,G36,15.6,1,m,30-06-2020,12:27,ACT,1,4,H,D,52,43.80353546,56.24193573,169.1217499,0.757689834,56754.04297,16.4,5.5,26.5,,ACT1_4H
85,2126,G36,15.6,1,m,14-07-2020,09:42,ACT,3,1,E,D,53,34.38957596,49.86284256,124.5514679,0.657494843,43960.74609,109.2,5.2,35.3,,ACT3_1E
86,2133,G41,14.2,1,m,07-07-2020,09:52,ACT,2,1,E,C,31,21.51032829,46.391716,89.02384949,0.424824983,28153.36914,309.9,8.2,139.7,,ACT2_1E
87,2133,G41,14.2,1,m,30-06-2020,10:27,ACT,1,2,H,C,32,10.85033894,54.24602127,39.13879013,0.170657858,14169.86816,828.7,23.7,8,,ACT1_2H
88,2147,G26,13,3,f,07-07-2020,14:50,ACT,2,6,B,D,31,19.80940628,53.48014832,80.4477005,0.324287385,25639.79883,568.1,12.4,41.8,,ACT2_6B
89,2147,G26,13,3,f,30-06-2020,12:27,ACT,1,4,A,D,31,37.62119675,55.492733,135.9152527,0.653478026,47772.97656,89.3,5.3,45.2,,ACT1_4A
90,2147,G26,13,3,f,14-07-2020,09:42,ACT,3,1,F,D,32,12.74363518,48.3531723,47.39408875,0.221679688,16848.72656,763,15.6,27.9,moderate fin infection,ACT3_1F
91,2153,G06,13.2,1,m,30-06-2020,14:40,ACT,1,6,D,E,29,61.23959732,77.69376373,201.8768311,0.771707356,77516.76563,18.3,4.6,63.6,,ACT1_6D
92,2153,G06,13.2,1,m,14-07-2020,11:36,ACT,3,3,C,E,30,41.73993301,63.42619705,146.7123718,0.629170477,53501.11328,204.9,5.3,80.6,,ACT3_3C
93,2153,G06,13.2,1,m,07-07-2020,11:51,ACT,2,3,C,E,29,52.02302933,71.11708069,160.4956665,0.683942437,65426.58203,79,6.1,53.3,tracking failed to reach >90% detection,ACT2_3C
94,2155,G32,10.9,2,m,07-07-2020,13:45,ACT,2,5,B,D,18,1.746708989,11.45669651,12.38584328,0.009917769,2975.722656,1199.8,200,0,"lethargic, with wound EXCLUDED",ACT2_5B
95,2155,G32,10.9,2,m,30-06-2020,11:28,ACT,1,3,F,D,20,2.528050423,31.15657997,14.42539024,0.021141239,4134.262695,1121.3,56.1,0,lethargic EXCLUDED,ACT1_3F
96,2156,G29,16.7,1,m,07-07-2020,11:51,ACT,2,3,D,E,61,36.35943604,56.86929703,136.3191376,0.615389109,47750.35547,193.5,6.9,28,,ACT2_3D
97,2156,G29,16.7,1,m,30-06-2020,14:40,ACT,1,6,B,E,60,35.35190201,64.68862152,115.8107376,0.515849769,45533.46094,120.8,6,54.8,,ACT1_6B
98,2156,G29,16.7,1,m,14-07-2020,10:40,ACT,3,2,D,E,64,29.46918106,54.66563034,112.2802505,0.502655506,39146.83984,226.1,9,17,moderate fin infection,ACT3_2D
99,2165,G23,15.8,2,m,30-06-2020,12:27,ACT,1,4,D,D,43,6.821016788,48.54709625,27.60145569,0.100955665,9685.594727,950.3,39.6,972,visible wound EXCLUDED,ACT1_4D
