"","PITID","FishID","TL","InfectionScore","Sex","Date","TimeLoaded","TimeInitiated","TrialType","TrialDay","TrialRound","ArenaID","TankID","emergetime","emergelat","endpointtime","endpointlat","refugereturntime","refugereturnlat","Notes","UniqueID"
"53",2045,"G14",16.3,2,"m","02-07-2020","17:27","17:37","EXPL",1,9,"C","E",NA,2700,NA,NA,NA,NA,"","EXPL1_9C"
"54",2049,"G50",11.7,2,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",2060,"G04",15.4,1,"m","02-07-2020","18:30","18:40","EXPL",1,10,"C","E",NA,2700,NA,NA,NA,NA,"","EXPL1_10C"
"56",2060,"G04",15.4,1,"m","09-07-2020","08:34","08:44","EXPL",2,1,"E","E","09:57",597,"24:35",878,"10:29",32,"","EXPL2_1E"
"57",2060,"G04",15.4,1,"m","16-07-2020","11:15","11:25","EXPL",3,2,"C","E","02:15",135,"05:48",213,"02:34",19,"","EXPL3_2C"
"58",2065,"G55",11.3,3,"m","09-07-2020","12:52","13:02","EXPL",2,5,"A","C","00:55",55,"",-55,"01:02",7,"","EXPL2_5A"
"59",2065,"G55",11.3,3,"m","02-07-2020","15:23","15:33","EXPL",1,7,"B","C","06:00",360,NA,NA,"06:33",33,"","EXPL1_7B"
"60",2065,"G55",11.3,3,"m","16-07-2020","16:40","16:50","EXPL",3,7,"E","C","04:33",273,NA,NA,"04:52",19,"","EXPL3_7E"
"61",2068,"G01",9.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",2070,"G45",11,3,"f","02-07-2020","14:20","14:30","EXPL",1,6,"C","C",NA,2700,NA,NA,NA,NA,"","EXPL1_6C"
"63",2084,"G48",9.8,3,"f","02-07-2020","13:15","13:25","EXPL",1,5,"B","C",NA,2700,NA,NA,NA,NA,"","EXPL1_5B"
"64",2089,"G31",13.7,1,"m","09-07-2020","15:00","15:10","EXPL",2,7,"C","D",NA,2700,NA,NA,NA,NA,"","EXPL2_7C"
"65",2089,"G31",13.7,1,"m","02-07-2020","08:42","08:52","EXPL",1,1,"D","D",NA,2700,NA,NA,NA,NA,"","EXPL1_1D"
"66",2099,"G12",13.4,2,"m","09-07-2020","08:34","08:44","EXPL",2,1,"A","E",NA,2700,NA,NA,NA,NA,"","EXPL2_1A"
"67",2099,"G12",13.4,2,"m","16-07-2020","11:15","11:25","EXPL",3,2,"B","E",NA,2700,NA,NA,NA,NA,"","EXPL3_2B"
"68",2099,"G12",13.4,2,"m","02-07-2020","18:30","18:40","EXPL",1,10,"D","E","32:51",1971,NA,NA,"33:11",20,"","EXPL1_10D"
"69",2101,"G40",12.8,1,"m","09-07-2020","11:48","11:58","EXPL",2,4,"E","C",NA,2700,NA,NA,NA,NA,"","EXPL2_4E"
"70",2101,"G40",12.8,1,"m","02-07-2020","14:20","14:30","EXPL",1,6,"D","C","00:02",2,"00:25",23,"02:24",142,"","EXPL1_6D"
"71",2101,"G40",12.8,1,"m","16-07-2020","14:29","14:39","EXPL",3,5,"D","C",NA,2700,NA,NA,NA,NA,"lethargic with wound","EXPL3_5D"
"72",2110,"G28",14.9,1,"m","09-07-2020","15:00","15:10","EXPL",2,7,"B","D","00:07",7,"01:35",88,"00:26",19,"","EXPL2_7B"
